domain,url,risk_score,category,type,brand,keywords,vt_malicious,vt_suspicious,urlscan_malicious,ip_address,country,timestamp
"grantibank.nu","https://grantibank.nu",3,"blacklist_match","blacklist_match","","bank",0,0,"false","","","2025-07-03T13:01:23.001Z"
"xn--metalrande-u5a.se","https://xn--metalrande-u5a.se",5,"medium_risk","enterprise_target","meta","",0,0,"false","","","2025-07-03T13:01:39.374Z"
"lngaccounting.se","https://lngaccounting.se",3,"blacklist_match","blacklist_match","","account",0,0,"false","","","2025-07-03T13:01:55.745Z"
"banklaan.se","https://banklaan.se",3,"blacklist_match","blacklist_match","","bank",0,0,"false","","","2025-07-03T13:02:12.042Z"
"doctorsauthenticate.se","https://doctorsauthenticate.se",3,"blacklist_match","blacklist_match","","auth",0,0,"false","","","2025-07-03T13:02:28.593Z"
"wero-wallet.se","https://wero-wallet.se",3,"blacklist_match","blacklist_match","","wallet",0,0,"false","","","2025-07-03T13:02:44.910Z"
"crypto2cash.se","https://crypto2cash.se",3,"blacklist_match","blacklist_match","","crypto",0,0,"false","","","2025-07-03T13:03:01.240Z"
"bullypaws.se","https://bullypaws.se",5,"medium_risk","enterprise_target","aws","",0,0,"false","","","2025-07-03T13:03:17.564Z"
"atlasbank.se","https://atlasbank.se",3,"blacklist_match","blacklist_match","","bank",0,0,"false","","","2025-07-03T13:03:33.998Z"
"sentinelone.se","https://sentinelone.se",5,"medium_risk","enterprise_target","sentinelone","",0,0,"false","","","2025-07-03T13:03:50.477Z"
"upplevamazonas.se","https://upplevamazonas.se",5,"medium_risk","enterprise_target","amazon","",0,0,"false","","","2025-07-03T13:04:06.923Z"
"teslaproducts.se","https://teslaproducts.se",5,"medium_risk","enterprise_target","tesla","",0,0,"false","","","2025-07-03T13:04:23.364Z"
"dinredovisare.se","https://dinredovisare.se",5,"medium_risk","enterprise_target","visa","",0,0,"false","","","2025-07-03T13:04:40.191Z"
"kallebanka.se","https://kallebanka.se",3,"blacklist_match","blacklist_match","","bank",0,0,"false","","","2025-07-03T13:04:56.661Z"
"applesin.se","https://applesin.se",5,"medium_risk","enterprise_target","apple","",0,0,"false","","","2025-07-03T13:05:13.427Z"
"grantbank.nu","https://grantbank.nu",3,"blacklist_match","blacklist_match","","bank",0,0,"false","","","2025-07-03T13:05:30.246Z"
"artificiellgenerellintelligens.se","https://artificiellgenerellintelligens.se",5,"medium_risk","enterprise_target","intel","",0,0,"false","","","2025-07-03T13:05:47.118Z"
"whitepurepaws.se","https://whitepurepaws.se",5,"medium_risk","enterprise_target","aws","",0,0,"false","","","2025-07-03T13:06:03.579Z"
"unicreditbank.se","https://unicreditbank.se",3,"blacklist_match","blacklist_match","","bank",0,0,"false","","","2025-07-03T13:06:20.198Z"
"aaintelligence.se","https://aaintelligence.se",5,"medium_risk","enterprise_target","intel","",0,0,"false","","","2025-07-03T13:06:36.519Z"
"altioraintelligence.se","https://altioraintelligence.se",5,"medium_risk","enterprise_target","intel","",0,0,"false","","","2025-07-03T13:06:53.429Z"
"devisafe.se","https://devisafe.se",5,"medium_risk","enterprise_target","visa","",0,0,"false","","","2025-07-03T13:07:09.912Z"
"metamorfa.se","https://metamorfa.se",5,"medium_risk","enterprise_target","meta","",0,0,"false","","","2025-07-03T13:07:26.226Z"
"inteligentne-systemy.sk","https://inteligentne-systemy.sk",5,"medium_risk","enterprise_target","intel","",0,0,"false","","","2025-07-03T13:07:42.856Z"
"devisafe.se","https://devisafe.se",5,"medium_risk","enterprise_target","visa","",0,0,"false","","","2025-07-03T13:07:59.308Z"
"accountbuddy.se","https://accountbuddy.se",3,"blacklist_match","blacklist_match","","account",0,0,"false","","","2025-07-03T13:08:15.813Z"
"xn--metalrande-u5a.se","https://xn--metalrande-u5a.se",5,"medium_risk","enterprise_target","meta","",0,0,"false","","","2025-07-03T13:08:32.218Z"
"instantbankingcasino.se","https://instantbankingcasino.se",3,"blacklist_match","blacklist_match","","bank",0,0,"false","","","2025-07-03T13:08:48.779Z"
"ns2.casinomedapplepayutansvensklicens.se","https://ns2.casinomedapplepayutansvensklicens.se",5,"medium_risk","enterprise_target","apple","",0,0,"false","","","2025-07-03T13:09:05.322Z"
"jpmorganpersonalinvesting.se","https://jpmorganpersonalinvesting.se",5,"medium_risk","enterprise_target","jpmorgan","",0,0,"false","","","2025-07-03T13:09:22.285Z"
"metallprodukt.sk","https://metallprodukt.sk",5,"medium_risk","enterprise_target","meta","",0,0,"false","","","2025-07-03T13:09:38.888Z"
"unicreditbank.se","https://unicreditbank.se",3,"blacklist_match","blacklist_match","","bank",0,0,"false","","","2025-07-03T13:09:55.265Z"
"airbank.se","https://airbank.se",3,"blacklist_match","blacklist_match","","bank",0,0,"false","","","2025-07-03T13:10:12.509Z"
"accountingagent.se","https://accountingagent.se",3,"blacklist_match","blacklist_match","","account",0,0,"false","","","2025-07-03T13:10:29.102Z"
