domain,url,risk_score,category,type,brand,keywords,vt_malicious,vt_suspicious,urlscan_malicious,whois_status,whois_registrar,whois_registration_date,whois_expiration_date,ip_address,country,vt_available,urlscan_available,whois_available,timestamp
"ehandelsbanken.se","https://ehandelsbanken.se",3,"blacklist_match","blacklist_match","","bank",0,0,"false","unknown","","","","","","false","false","false","2025-07-07T11:24:18.996Z"
"paws-stockholm.se","https://paws-stockholm.se",5,"medium_risk","enterprise_target","aws","",0,0,"false","unknown","","","","","","false","false","false","2025-07-07T11:24:19.788Z"
"metamorfa.se","https://metamorfa.se",5,"medium_risk","enterprise_target","meta","",0,0,"false","unknown","","","","","","false","false","false","2025-07-07T11:24:20.575Z"
"ahredovisa.se","https://ahredovisa.se",5,"medium_risk","enterprise_target","visa","",0,0,"false","unknown","","","","","","false","false","false","2025-07-07T11:24:21.361Z"
"metallfakta.se","https://metallfakta.se",5,"medium_risk","enterprise_target","meta","",0,0,"false","unknown","","","","","","false","false","false","2025-07-07T11:24:22.155Z"
"metabolicreset.se","https://metabolicreset.se",5,"medium_risk","enterprise_target","meta","",0,0,"false","unknown","","","","","","false","false","false","2025-07-07T11:24:22.945Z"
"xn--metalrande-u5a.se","https://xn--metalrande-u5a.se",5,"medium_risk","enterprise_target","meta","",0,0,"false","unknown","","","","","","false","false","false","2025-07-07T11:24:23.733Z"
"lovisaulrika.se","https://lovisaulrika.se",5,"medium_risk","enterprise_target","visa","",0,0,"false","unknown","","","","","","false","false","false","2025-07-07T11:24:24.526Z"
"aisuperintelligence.se","https://aisuperintelligence.se",5,"medium_risk","enterprise_target","intel","",0,0,"false","unknown","","","","","","false","false","false","2025-07-07T11:24:25.312Z"
"teslaproducts.se","https://teslaproducts.se",5,"medium_risk","enterprise_target","tesla","",0,0,"false","unknown","","","","","","false","false","false","2025-07-07T11:24:26.095Z"
"dinredovisare.se","https://dinredovisare.se",5,"medium_risk","enterprise_target","visa","",0,0,"false","unknown","","","","","","false","false","false","2025-07-07T11:24:26.880Z"
"artificiellgenerellintelligens.se","https://artificiellgenerellintelligens.se",5,"medium_risk","enterprise_target","intel","",0,0,"false","unknown","","","","","","false","false","false","2025-07-07T11:24:27.662Z"
"wineoracle.se","https://wineoracle.se",5,"medium_risk","enterprise_target","oracle","",0,0,"false","unknown","","","","","","false","false","false","2025-07-07T11:24:28.448Z"
"superintelligenceai.se","https://superintelligenceai.se",5,"medium_risk","enterprise_target","intel","",0,0,"false","unknown","","","","","","false","false","false","2025-07-07T11:24:29.232Z"
"amazonkatextil.sk","https://amazonkatextil.sk",5,"medium_risk","enterprise_target","amazon","",0,0,"false","unknown","","","","","","false","false","false","2025-07-07T11:24:30.018Z"
"junebank.se","https://junebank.se",3,"blacklist_match","blacklist_match","","bank",0,0,"false","unknown","","","","","","false","false","false","2025-07-07T11:24:30.809Z"
"kallebanka.se","https://kallebanka.se",3,"blacklist_match","blacklist_match","","bank",0,0,"false","unknown","","","","","","false","false","false","2025-07-07T11:24:31.607Z"
"wero-wallet.se","https://wero-wallet.se",3,"blacklist_match","blacklist_match","","wallet",0,0,"false","unknown","","","","","","false","false","false","2025-07-07T11:24:32.397Z"
"applesin.se","https://applesin.se",5,"medium_risk","enterprise_target","apple","",0,0,"false","unknown","","","","","","false","false","false","2025-07-07T11:24:33.180Z"
"banklaan.se","https://banklaan.se",3,"blacklist_match","blacklist_match","","bank",0,0,"false","unknown","","","","","","false","false","false","2025-07-07T11:24:33.965Z"
"grantibank.nu","https://grantibank.nu",3,"blacklist_match","blacklist_match","","bank",0,0,"false","unknown","","","","","","false","false","false","2025-07-07T11:24:34.750Z"
"mauth.se","https://mauth.se",3,"blacklist_match","blacklist_match","","auth",0,0,"false","unknown","","","","","","false","false","false","2025-07-07T11:24:35.532Z"
"doctorsauthenticate.se","https://doctorsauthenticate.se",3,"blacklist_match","blacklist_match","","auth",0,0,"false","unknown","","","","","","false","false","false","2025-07-07T11:24:36.315Z"
"jpmorganpersonalinvesting.sk","https://jpmorganpersonalinvesting.sk",5,"medium_risk","enterprise_target","jpmorgan","",0,0,"false","unknown","","","","","","false","false","false","2025-07-07T11:24:37.100Z"
"grantbank.nu","https://grantbank.nu",3,"blacklist_match","blacklist_match","","bank",0,0,"false","unknown","","","","","","false","false","false","2025-07-07T11:24:37.892Z"
"artificialsuperintelligence.se","https://artificialsuperintelligence.se",5,"medium_risk","enterprise_target","intel","",0,0,"false","unknown","","","","","","false","false","false","2025-07-07T11:24:38.674Z"
"wineoracles.se","https://wineoracles.se",5,"medium_risk","enterprise_target","oracle","",0,0,"false","unknown","","","","","","false","false","false","2025-07-07T11:24:39.457Z"
"tenantintelligence.se","https://tenantintelligence.se",5,"medium_risk","enterprise_target","intel","",0,0,"false","unknown","","","","","","false","false","false","2025-07-07T11:24:40.239Z"
"metabohack.sk","https://metabohack.sk",5,"medium_risk","enterprise_target","meta","",0,0,"false","unknown","","","","","","false","false","false","2025-07-07T11:24:41.025Z"
"soderhamnsmetallatervinning.se","https://soderhamnsmetallatervinning.se",5,"medium_risk","enterprise_target","meta","",0,0,"false","unknown","","","","","","false","false","false","2025-07-07T11:24:41.811Z"
