domain,url,risk_score,category,brand,keywords,vt_malicious,vt_suspicious,urlscan_overall_malicious,urlscan_engines_malicious,urlscan_community_malicious,urlscan_stats_malicious,whois_status,whois_registrar,whois_registration_date,whois_expiration_date,vt_available,urlscan_available,whois_available,timestamp
"0000apple.com","https://0000apple.com",11,"confirmed_threat","apple","",2,2,"false","false","false",0,"active","Tucows Domains Inc.","2024-06-24T17:50:07Z","2026-06-24T17:50:07Z","true","true","true","2025-07-07T12:52:11.887Z"
"00.02.05.2024.google_argon2025h2.flowers-to-the-world.com","https://00.02.05.2024.google_argon2025h2.flowers-to-the-world.com",11,"confirmed_threat","google","",2,2,"false","false","false",0,"unknown","","","","true","true","false","2025-07-07T12:52:13.475Z"
"0004.alb.azure.com","https://0004.alb.azure.com",11,"confirmed_threat","azure","",2,2,"false","false","false",0,"unknown","","","","true","true","false","2025-07-07T12:52:14.262Z"
"0004f55521fd4bb7b37dfe6b70149768.alb.azure.com","https://0004f55521fd4bb7b37dfe6b70149768.alb.azure.com",11,"confirmed_threat","azure","",2,2,"false","false","false",0,"unknown","","","","true","true","false","2025-07-07T12:52:15.049Z"
"0004f55521fd4bb7b37dfe6b70149768-xds.alb.azure.com","https://0004f55521fd4bb7b37dfe6b70149768-xds.alb.azure.com",11,"confirmed_threat","azure","",2,2,"false","false","false",0,"unknown","","","","true","true","false","2025-07-07T12:52:15.836Z"
"00085291701728.francecentral.airflow.svc.datafactory.azure.com","https://00085291701728.francecentral.airflow.svc.datafactory.azure.com",11,"confirmed_threat","azure","",2,2,"false","false","false",0,"unknown","","","","true","true","false","2025-07-07T12:52:16.623Z"
"001d169fb11a4ec7a855a98cd9cbcd95.alb.azure.com","https://001d169fb11a4ec7a855a98cd9cbcd95.alb.azure.com",11,"confirmed_threat","azure","",2,2,"false","false","false",0,"unknown","","","","true","true","false","2025-07-07T12:52:18.212Z"
"001d169fb11a4ec7a855a98cd9cbcd95-xds.alb.azure.com","https://001d169fb11a4ec7a855a98cd9cbcd95-xds.alb.azure.com",11,"confirmed_threat","azure","",2,2,"false","false","false",0,"unknown","","","","true","true","false","2025-07-07T12:52:18.998Z"
"001d.alb.azure.com","https://001d.alb.azure.com",11,"confirmed_threat","azure","",2,2,"false","false","false",0,"unknown","","","","true","true","false","2025-07-07T12:52:19.798Z"
"001-maso.apac.prod.cos.audience.teams.microsoft.com","https://001-maso.apac.prod.cos.audience.teams.microsoft.com",11,"confirmed_threat","microsoft","",2,2,"false","false","false",0,"unknown","","","","true","true","false","2025-07-07T12:52:20.584Z"
"001-usce.noam.prd.api.cos.mediapaas.infra.teams.microsoft.com","https://001-usce.noam.prd.api.cos.mediapaas.infra.teams.microsoft.com",11,"confirmed_threat","microsoft","",2,2,"false","false","false",0,"unknown","","","","true","true","false","2025-07-07T12:52:21.369Z"
"00260063-cf46-4b8e-8a00-6669e6229042.vpn.azure.com","https://00260063-cf46-4b8e-8a00-6669e6229042.vpn.azure.com",11,"confirmed_threat","azure","",2,2,"false","false","false",0,"unknown","","","","true","true","false","2025-07-07T12:52:22.157Z"
"paws-stockholm.se","https://paws-stockholm.se",5,"medium_risk","aws","",0,0,"false","false","false",0,"unknown","","","","false","false","false","2025-07-07T12:51:54.747Z"
"soderhamnsmetallatervinning.se","https://soderhamnsmetallatervinning.se",5,"medium_risk","meta","",0,0,"false","false","false",0,"unknown","","","","false","false","false","2025-07-07T12:51:55.537Z"
