domain,url,risk_score,category,brand,keywords,vt_malicious,vt_suspicious,urlscan_malicious,whois_status,whois_registrar,whois_registration_date,whois_expiration_date,ip_address,country,vt_available,urlscan_available,whois_available,timestamp
"001win-login.com","https://001win-login.com",3,"blacklist_match","","login",0,0,"false","unknown","Key-Systems GmbH","2025-06-22T06:16:10Z","2026-06-22T06:16:10Z","","","false","true","true","2025-07-07T11:26:09.818Z"
"006bet-login.com","https://006bet-login.com",5,"medium_risk","","login",0,0,"false","active","Dominet (HK) Limited","2025-06-22T10:56:24Z","2026-06-22T10:56:24Z","","","false","true","true","2025-07-07T11:26:26.735Z"
"007game-login.com","https://007game-login.com",3,"blacklist_match","","login",0,0,"false","unknown","Key-Systems GmbH","2025-06-22T06:16:54Z","2026-06-22T06:16:54Z","","","false","true","true","2025-07-07T11:26:43.642Z"
"0088betlogin.com","https://0088betlogin.com",5,"medium_risk","","login",0,0,"false","active","Dominet (HK) Limited","2025-06-24T07:34:14Z","2026-06-24T07:34:14Z","","","false","true","true","2025-07-07T11:27:01.799Z"
"011-stripe.com","https://011-stripe.com",5,"medium_risk","stripe","",0,0,"false","unknown","GMO Internet Group, Inc. d/b/a Onamae.com","2025-06-22T11:33:06Z","2026-06-22T11:33:06Z","","","false","true","true","2025-07-07T11:27:19.679Z"
"012-stripe.com","https://012-stripe.com",5,"medium_risk","stripe","",0,0,"false","unknown","GMO Internet Group, Inc. d/b/a Onamae.com","2025-06-22T11:33:27Z","2026-06-22T11:33:27Z","","","false","true","true","2025-07-07T11:27:38.541Z"
"013-stripe.com","https://013-stripe.com",5,"medium_risk","stripe","",0,0,"false","unknown","GMO Internet Group, Inc. d/b/a Onamae.com","2025-06-22T11:33:46Z","2026-06-22T11:33:46Z","","","false","true","true","2025-07-07T11:27:55.825Z"
"014-stripe.com","https://014-stripe.com",5,"medium_risk","stripe","",0,0,"false","unknown","GMO Internet Group, Inc. d/b/a Onamae.com","2025-06-22T11:34:04Z","2026-06-22T11:34:04Z","","","false","true","true","2025-07-07T11:28:12.410Z"
"015-stripe.com","https://015-stripe.com",5,"medium_risk","stripe","",0,0,"false","unknown","GMO Internet Group, Inc. d/b/a Onamae.com","2025-06-22T11:34:24Z","2026-06-22T11:34:24Z","","","false","true","true","2025-07-07T11:28:30.508Z"
"01bet-login.com","https://01bet-login.com",5,"medium_risk","","login",0,0,"false","active","Dominet (HK) Limited","2025-06-21T11:44:19Z","2026-06-21T11:44:19Z","","","false","true","true","2025-07-07T11:28:46.939Z"
"02bet-login.com","https://02bet-login.com",5,"medium_risk","","login",0,0,"false","active","Dominet (HK) Limited","2025-06-24T07:44:00Z","2026-06-24T07:44:00Z","","","false","true","true","2025-07-07T11:29:15.319Z"
"02ukjulyupdate.com","https://02ukjulyupdate.com",3,"blacklist_match","","update",0,0,"false","unknown","Tucows Domains Inc.","2025-07-02T16:09:20Z","2026-07-02T16:09:20Z","","","false","false","true","2025-07-07T11:29:31.619Z"
"050bet-login.com","https://050bet-login.com",3,"blacklist_match","","login",0,0,"false","unknown","Key-Systems GmbH","2025-06-29T08:19:37Z","2026-06-29T08:19:37Z","","","false","true","true","2025-07-07T11:29:48.285Z"
"050betlogin.com","https://050betlogin.com",5,"medium_risk","","login",0,0,"false","active","Dominet (HK) Limited","2025-06-21T11:44:18Z","2026-06-21T11:44:18Z","","","false","true","true","2025-07-07T11:30:04.749Z"
"0532oracle.com","https://0532oracle.com",5,"medium_risk","oracle","",0,0,"false","unknown","Name SRS AB","2025-07-01T08:05:15Z","2026-07-01T08:05:15Z","","","false","false","true","2025-07-07T11:30:23.347Z"
"05xlogin.com","https://05xlogin.com",3,"blacklist_match","","login",0,0,"false","unknown","Key-Systems GmbH","2025-07-03T09:28:01Z","2026-07-03T09:28:01Z","","","false","true","true","2025-07-07T11:30:41.886Z"
"0meterchasers.com","https://0meterchasers.com",5,"medium_risk","chase","",0,0,"false","unknown","Wix.com Ltd.","2025-06-24T23:45:11Z","2027-06-24T23:45:11Z","","","false","false","true","2025-07-07T11:31:15.667Z"
"0xsmartbank.com","https://0xsmartbank.com",3,"blacklist_match","","bank",0,0,"false","unknown","NameCheap, Inc.","2025-06-24T16:14:40Z","2026-06-24T16:14:40Z","","","false","true","true","2025-07-07T11:31:47.012Z"
"0001-stripe.com","https://0001-stripe.com",5,"medium_risk","stripe","",0,0,"false","unknown","NICENIC INTERNATIONAL GROUP CO., LIMITED","2025-06-10T09:51:35Z","2026-06-10T09:51:35Z","","","false","false","true","2025-07-07T11:32:21.755Z"
"0007betcomlogin.com","https://0007betcomlogin.com",5,"medium_risk","","login",0,0,"false","active","Dominet (HK) Limited","2025-06-11T06:24:09Z","2026-06-11T06:24:09Z","","","false","true","true","2025-07-07T11:32:38.515Z"
"000betlogin.com","https://000betlogin.com",5,"medium_risk","","login",0,0,"false","active","Dominet (HK) Limited","2025-06-10T16:02:05Z","2026-06-10T16:02:05Z","","","false","true","true","2025-07-07T11:32:55.027Z"
"001betlogin.com","https://001betlogin.com",5,"medium_risk","","login",0,0,"false","active","Dominet (HK) Limited","2025-06-13T15:40:40Z","2026-06-13T15:40:40Z","","","false","true","true","2025-07-07T11:33:28.295Z"
"001bitcoin.com","https://001bitcoin.com",3,"blacklist_match","","bitcoin",0,0,"false","unknown","Metaregistrar BV","2025-06-08T15:48:37Z","2026-06-08T15:48:37Z","","","false","true","true","2025-07-07T11:33:44.782Z"
"001win-login.com","https://001win-login.com",3,"blacklist_match","","login",0,0,"false","unknown","Key-Systems GmbH","2025-06-22T06:16:10Z","2026-06-22T06:16:10Z","","","false","true","true","2025-07-07T11:34:01.399Z"
"0066betcomlogin.com","https://0066betcomlogin.com",5,"medium_risk","","login",0,0,"false","active","Dominet (HK) Limited","2025-06-11T06:24:14Z","2026-06-11T06:24:14Z","","","false","true","true","2025-07-07T11:34:34.998Z"
"006bet-login.com","https://006bet-login.com",5,"medium_risk","","login",0,0,"false","active","Dominet (HK) Limited","2025-06-22T10:56:24Z","2026-06-22T10:56:24Z","","","false","true","true","2025-07-07T11:34:51.774Z"
"007game-login.com","https://007game-login.com",3,"blacklist_match","","login",0,0,"false","unknown","Key-Systems GmbH","2025-06-22T06:16:54Z","2026-06-22T06:16:54Z","","","false","true","true","2025-07-07T11:35:08.083Z"
"007gamelogin.com","https://007gamelogin.com",5,"medium_risk","","login",0,0,"false","active","Dominet (HK) Limited","2025-06-17T10:10:14Z","2026-06-17T10:10:14Z","","","false","true","true","2025-07-07T11:35:25.616Z"
"0088betlogin.com","https://0088betlogin.com",5,"medium_risk","","login",0,0,"false","active","Dominet (HK) Limited","2025-06-24T07:34:14Z","2026-06-24T07:34:14Z","","","false","true","true","2025-07-07T11:35:42.032Z"
"011-stripe.com","https://011-stripe.com",5,"medium_risk","stripe","",0,0,"false","unknown","GMO Internet Group, Inc. d/b/a Onamae.com","2025-06-22T11:33:06Z","2026-06-22T11:33:06Z","","","false","true","true","2025-07-07T11:36:00.228Z"
"012-stripe.com","https://012-stripe.com",5,"medium_risk","stripe","",0,0,"false","unknown","GMO Internet Group, Inc. d/b/a Onamae.com","2025-06-22T11:33:27Z","2026-06-22T11:33:27Z","","","false","true","true","2025-07-07T11:36:16.843Z"
"013betcomlogin.com","https://013betcomlogin.com",5,"medium_risk","","login",0,0,"false","active","Dominet (HK) Limited","2025-06-11T06:24:19Z","2026-06-11T06:24:19Z","","","false","true","true","2025-07-07T11:36:33.604Z"
"013-stripe.com","https://013-stripe.com",5,"medium_risk","stripe","",0,0,"false","unknown","GMO Internet Group, Inc. d/b/a Onamae.com","2025-06-22T11:33:46Z","2026-06-22T11:33:46Z","","","false","true","true","2025-07-07T11:36:50.109Z"
"014-stripe.com","https://014-stripe.com",5,"medium_risk","stripe","",0,0,"false","unknown","GMO Internet Group, Inc. d/b/a Onamae.com","2025-06-22T11:34:04Z","2026-06-22T11:34:04Z","","","false","true","true","2025-07-07T11:37:06.586Z"
"015-stripe.com","https://015-stripe.com",5,"medium_risk","stripe","",0,0,"false","unknown","GMO Internet Group, Inc. d/b/a Onamae.com","2025-06-22T11:34:24Z","2026-06-22T11:34:24Z","","","false","true","true","2025-07-07T11:37:23.479Z"
"017betapplogin.com","https://017betapplogin.com",5,"medium_risk","","login",0,0,"false","active","Dominet (HK) Limited","2025-06-12T07:58:17Z","2026-06-12T07:58:17Z","","","false","true","true","2025-07-07T11:37:40.106Z"
"01athleteintelligence.com","https://01athleteintelligence.com",5,"medium_risk","intel","",0,0,"false","unknown","GoDaddy.com, LLC","2025-06-16T03:31:28Z","2027-06-16T03:31:28Z","","","false","false","true","2025-07-07T11:37:56.586Z"
