domain,url,risk_score,category,brand,keywords,vt_malicious,vt_suspicious,urlscan_malicious,ip_address,country,timestamp
"lawsbitcoin.xyz","https://lawsbitcoin.xyz",8,"high_risk","aws","bitcoin",0,0,"false","","","2025-07-10T18:51:46.446Z"
"lawsecurehub.com","https://lawsecurehub.com",8,"high_risk","aws","secure",0,0,"false","","","2025-07-10T18:56:57.215Z"
"lawsecureit.com","https://lawsecureit.com",8,"high_risk","aws","secure",0,0,"false","","","2025-07-10T18:57:13.480Z"
"lawsuitbitcoin.xyz","https://lawsuitbitcoin.xyz",8,"high_risk","aws","bitcoin",0,0,"false","","","2025-07-10T19:28:17.167Z"
"lawsuitupdates.com","https://lawsuitupdates.com",8,"high_risk","aws","update",0,0,"false","","","2025-07-10T19:32:22.538Z"
"wineoracle.se","https://wineoracle.se",5,"medium_risk","oracle","",0,0,"false","","","2025-07-10T13:01:14.886Z"
"showpaws.se","https://showpaws.se",5,"medium_risk","aws","",0,0,"false","","","2025-07-10T13:01:31.164Z"
"superintelligenceai.se","https://superintelligenceai.se",5,"medium_risk","intel","",0,0,"false","","","2025-07-10T13:02:04.446Z"
"aisuperintelligence.se","https://aisuperintelligence.se",5,"medium_risk","intel","",0,0,"false","","","2025-07-10T13:02:20.745Z"
"downypaws.sk","https://downypaws.sk",5,"medium_risk","aws","",0,0,"false","","","2025-07-10T13:02:37.332Z"
"amazonkatextil.sk","https://amazonkatextil.sk",5,"medium_risk","amazon","",0,0,"false","","","2025-07-10T13:02:53.689Z"
"lovisaulrika.se","https://lovisaulrika.se",5,"medium_risk","visa","",0,0,"false","","","2025-07-10T13:03:10.337Z"
"wineoracles.se","https://wineoracles.se",5,"medium_risk","oracle","",0,0,"false","","","2025-07-10T13:03:26.604Z"
"metabolicreset.se","https://metabolicreset.se",5,"medium_risk","meta","",0,0,"false","","","2025-07-10T13:03:42.912Z"
"whitepaws.ee","https://whitepaws.ee",5,"medium_risk","aws","",0,0,"false","","","2025-07-10T13:04:47.968Z"
"tenantintelligence.se","https://tenantintelligence.se",5,"medium_risk","intel","",0,0,"false","","","2025-07-10T13:05:20.555Z"
"metaverseai.se","https://metaverseai.se",5,"medium_risk","meta","",0,0,"false","","","2025-07-10T13:05:36.813Z"
"jpmorganpersonalinvesting.sk","https://jpmorganpersonalinvesting.sk",5,"medium_risk","jpmorgan","",0,0,"false","","","2025-07-10T13:05:54.090Z"
"metallfakta.se","https://metallfakta.se",5,"medium_risk","meta","",0,0,"false","","","2025-07-10T13:06:10.378Z"
"y2meta.nu","https://y2meta.nu",5,"medium_risk","meta","",0,0,"false","","","2025-07-10T13:06:26.655Z"
"metabohack.sk","https://metabohack.sk",5,"medium_risk","meta","",0,0,"false","","","2025-07-10T13:06:42.910Z"
"paws-stockholm.se","https://paws-stockholm.se",5,"medium_risk","aws","",0,0,"false","","","2025-07-10T13:07:15.468Z"
"ahredovisa.se","https://ahredovisa.se",5,"medium_risk","visa","",0,0,"false","","","2025-07-10T13:07:48.762Z"
"incometaxinswedenguide.se","https://incometaxinswedenguide.se",5,"medium_risk","meta","",0,0,"false","","","2025-07-10T13:08:05.378Z"
"incometaxguide.se","https://incometaxguide.se",5,"medium_risk","meta","",0,0,"false","","","2025-07-10T13:08:21.633Z"
"artificialsuperintelligence.se","https://artificialsuperintelligence.se",5,"medium_risk","intel","",0,0,"false","","","2025-07-10T13:08:37.890Z"
"whitepurepaws.se","https://whitepurepaws.se",5,"medium_risk","aws","",0,0,"false","","","2025-07-10T13:09:10.823Z"
"metami.se","https://metami.se",5,"medium_risk","meta","",0,0,"false","","","2025-07-10T13:09:27.074Z"
"superintelligenceai.se","https://superintelligenceai.se",5,"medium_risk","intel","",0,0,"false","","","2025-07-10T13:09:43.321Z"
"visarcctv.ee","https://visarcctv.ee",5,"medium_risk","visa","",0,0,"false","","","2025-07-10T13:09:59.569Z"
"visar.ee","https://visar.ee",5,"medium_risk","visa","",0,0,"false","","","2025-07-10T13:10:15.829Z"
"xn--metalrande-u5a.se","https://xn--metalrande-u5a.se",5,"medium_risk","meta","",0,0,"false","","","2025-07-10T13:10:32.403Z"
"devisafe.se","https://devisafe.se",5,"medium_risk","visa","",0,0,"false","","","2025-07-10T13:11:21.266Z"
"metamental.se","https://metamental.se",5,"medium_risk","meta","",0,0,"false","","","2025-07-10T13:12:10.046Z"
