domain,url,risk_score,category,brand,keywords,vt_malicious,vt_suspicious,urlscan_overall_malicious,urlscan_engines_malicious,urlscan_community_malicious,urlscan_stats_malicious,whois_status,whois_registrar,whois_registration_date,whois_expiration_date,alienvault_verdict,alienvault_malicious,urlvoid_threat_level,urlvoid_detection_ratio,urlvoid_is_threat,vt_available,urlscan_available,whois_available,alienvault_available,urlvoid_available,timestamp
"1microsoft.com","https://1microsoft.com",26.3,"confirmed_threat","microsoft","",5,1,"false","false","false",0,"unknown","","","","","false","HIGH",2.564102564102564,"true","true","false","false","false","true","2025-07-21T15:24:46.332Z"
"1wibmh.top","https://1wibmh.top",19.3,"confirmed_threat","ibm","",2,0,"false","false","false",0,"inactive","","","","","false","HIGH",2.564102564102564,"true","true","true","false","false","true","2025-07-21T15:31:57.879Z"
"2025gcpsup.org","https://2025gcpsup.org",19.3,"confirmed_threat","gcp","",2,0,"false","false","false",0,"inactive","","","","","false","HIGH",2.564102564102564,"true","true","true","false","false","true","2025-07-21T15:40:10.435Z"
"1004apple.com","https://1004apple.com",18.5,"confirmed_threat","apple","",1,1,"false","false","false",0,"unknown","","","","","false","HIGH",5.128205128205128,"true","true","true","false","false","true","2025-07-21T14:37:43.538Z"
"11apple.com","https://11apple.com",15.3,"confirmed_threat","apple","",0,0,"false","false","false",0,"unknown","","","","","false","HIGH",2.564102564102564,"true","true","true","false","false","true","2025-07-21T14:48:06.997Z"
"1amazonas777.com","https://1amazonas777.com",15.3,"confirmed_threat","amazon","",0,0,"false","false","false",0,"unknown","","","","","false","HIGH",2.564102564102564,"true","true","false","false","false","true","2025-07-21T15:17:59.115Z"
"1awsfd65.top","https://1awsfd65.top",15.3,"confirmed_threat","aws","",0,0,"false","false","false",0,"inactive","","","","","false","HIGH",2.564102564102564,"true","true","false","false","false","true","2025-07-21T15:18:00.731Z"
"1azurewebsites.net","https://1azurewebsites.net",15.3,"confirmed_threat","azure","",0,0,"false","false","false",0,"inactive","","","","","false","HIGH",2.564102564102564,"true","true","false","false","false","true","2025-07-21T15:18:01.525Z"
"15googleplay.com","https://15googleplay.com",12,"confirmed_threat","google","",3,1,"false","false","false",0,"unknown","","","","","false","SAFE",0,"false","true","false","false","false","true","2025-07-21T15:05:48.360Z"
"0000apple.com","https://0000apple.com",10,"confirmed_threat","apple","",2,1,"false","false","false",0,"unknown","","","","","false","SAFE",0,"false","true","true","false","false","true","2025-07-21T14:23:55.517Z"
"288visa.com","https://288visa.com",10,"confirmed_threat","visa","",2,1,"false","false","false",0,"unknown","","","","","false","SAFE",0,"false","true","true","false","false","true","2025-07-21T16:03:25.832Z"
"21lawsofstorytelling.com","https://21lawsofstorytelling.com",9,"confirmed_threat","aws","",2,0,"false","false","false",0,"unknown","","","","","false","SAFE",0,"false","true","false","false","false","true","2025-07-21T15:47:32.295Z"
"11dawsonave.com","https://11dawsonave.com",7,"confirmed_threat","aws","",1,0,"false","false","false",0,"unknown","","","","","false","SAFE",0,"false","true","true","false","false","true","2025-07-21T14:49:48.964Z"
"intellais.sk","https://intellais.sk",5,"medium_risk","intel","",0,0,"false","false","false",0,"inactive","","","","","false","",0,"false","false","false","false","false","false","2025-07-21T14:22:34.268Z"
"movisanpodmienky.sk","https://movisanpodmienky.sk",5,"medium_risk","visa","",0,0,"false","false","false",0,"inactive","","","","","false","",0,"false","false","false","false","false","false","2025-07-21T14:22:38.233Z"
"applegreen.ee","https://applegreen.ee",5,"medium_risk","apple","",0,0,"false","false","false",0,"inactive","","","","","false","",0,"false","false","false","false","false","false","2025-07-21T14:22:39.806Z"
"lovisafahlgren.se","https://lovisafahlgren.se",5,"medium_risk","visa","",0,0,"false","false","false",0,"inactive","","","","","false","",0,"false","false","false","false","false","false","2025-07-21T14:22:42.941Z"
"urbanpaws.se","https://urbanpaws.se",5,"medium_risk","aws","",0,0,"false","false","false",0,"inactive","","","","","false","",0,"false","false","false","false","false","false","2025-07-21T14:22:43.723Z"
"pawswholesale.se","https://pawswholesale.se",5,"medium_risk","aws","",0,0,"false","false","false",0,"inactive","","","","","false","",0,"false","false","false","false","false","false","2025-07-21T14:22:44.511Z"
"metalmaster.se","https://metalmaster.se",5,"medium_risk","meta","",0,0,"false","false","false",0,"inactive","","","","","false","",0,"false","false","false","false","false","false","2025-07-21T14:22:46.077Z"
"drive-google.sk","https://drive-google.sk",5,"medium_risk","google","",0,0,"false","false","false",0,"inactive","","","","","false","",0,"false","false","false","false","false","false","2025-07-21T14:22:46.861Z"
"interintel.ee","https://interintel.ee",5,"medium_risk","intel","",0,0,"false","false","false",0,"inactive","","","","","false","",0,"false","false","false","false","false","false","2025-07-21T14:22:48.436Z"
"metalmaster.se","https://metalmaster.se",5,"medium_risk","meta","",0,0,"false","false","false",0,"inactive","","","","","false","",0,"false","false","false","false","false","false","2025-07-21T14:22:49.221Z"
"lovisaulrika.se","https://lovisaulrika.se",5,"medium_risk","visa","",0,0,"false","false","false",0,"inactive","","","","","false","",0,"false","false","false","false","false","false","2025-07-21T14:22:50.788Z"
"superintelligenceai.se","https://superintelligenceai.se",5,"medium_risk","intel","",0,0,"false","false","false",0,"inactive","","","","","false","",0,"false","false","false","false","false","false","2025-07-21T14:22:51.576Z"
"inteligentne-systemy.sk","https://inteligentne-systemy.sk",5,"medium_risk","intel","",0,0,"false","false","false",0,"inactive","","","","","false","",0,"false","false","false","false","false","false","2025-07-21T14:22:53.146Z"
"metaverseai.se","https://metaverseai.se",5,"medium_risk","meta","",0,0,"false","false","false",0,"inactive","","","","","false","",0,"false","false","false","false","false","false","2025-07-21T14:22:53.929Z"
"artificialgeneralintelligence.nu","https://artificialgeneralintelligence.nu",5,"medium_risk","intel","",0,0,"false","false","false",0,"inactive","","","","","false","",0,"false","false","false","false","false","false","2025-07-21T14:22:55.507Z"
"drive-google.sk","https://drive-google.sk",5,"medium_risk","google","",0,0,"false","false","false",0,"inactive","","","","","false","",0,"false","false","false","false","false","false","2025-07-21T14:22:56.292Z"
"applegreen.ee","https://applegreen.ee",5,"medium_risk","apple","",0,0,"false","false","false",0,"inactive","","","","","false","",0,"false","false","false","false","false","false","2025-07-21T14:22:58.656Z"
"y2meta.nu","https://y2meta.nu",5,"medium_risk","meta","",0,0,"false","false","false",0,"inactive","","","","","false","",0,"false","false","false","false","false","false","2025-07-21T14:23:00.229Z"
"metabolicreset.se","https://metabolicreset.se",5,"medium_risk","meta","",0,0,"false","false","false",0,"inactive","","","","","false","",0,"false","false","false","false","false","false","2025-07-21T14:23:01.015Z"
"wineoracle.se","https://wineoracle.se",5,"medium_risk","oracle","",0,0,"false","false","false",0,"inactive","","","","","false","",0,"false","false","false","false","false","false","2025-07-21T14:23:01.799Z"
"incometaxinswedenguide.se","https://incometaxinswedenguide.se",5,"medium_risk","meta","",0,0,"false","false","false",0,"inactive","","","","","false","",0,"false","false","false","false","false","false","2025-07-21T14:23:02.586Z"
"bullypaws.se","https://bullypaws.se",5,"medium_risk","aws","",0,0,"false","false","false",0,"inactive","","","","","false","",0,"false","false","false","false","false","false","2025-07-21T14:23:04.958Z"
"jpmorganpersonalinvesting.sk","https://jpmorganpersonalinvesting.sk",5,"medium_risk","jpmorgan","",0,0,"false","false","false",0,"inactive","","","","","false","",0,"false","false","false","false","false","false","2025-07-21T14:23:06.904Z"
"metallfakta.se","https://metallfakta.se",5,"medium_risk","meta","",0,0,"false","false","false",0,"inactive","","","","","false","",0,"false","false","false","false","false","false","2025-07-21T14:23:07.729Z"
"invisalignkampanj.nu","https://invisalignkampanj.nu",5,"medium_risk","visa","",0,0,"false","false","false",0,"inactive","","","","","false","",0,"false","false","false","false","false","false","2025-07-21T14:23:09.316Z"
"xn--metalrande-u5a.se","https://xn--metalrande-u5a.se",5,"medium_risk","meta","",0,0,"false","false","false",0,"inactive","","","","","false","",0,"false","false","false","false","false","false","2025-07-21T14:23:10.100Z"
"paws-stockholm.se","https://paws-stockholm.se",5,"medium_risk","aws","",0,0,"false","false","false",0,"inactive","","","","","false","",0,"false","false","false","false","false","false","2025-07-21T14:23:10.890Z"
"pawstel.se","https://pawstel.se",5,"medium_risk","aws","",0,0,"false","false","false",0,"inactive","","","","","false","",0,"false","false","false","false","false","false","2025-07-21T14:23:11.679Z"
"metabohack.sk","https://metabohack.sk",5,"medium_risk","meta","",0,0,"false","false","false",0,"inactive","","","","","false","",0,"false","false","false","false","false","false","2025-07-21T14:23:13.253Z"
"movisanpodmienky.sk","https://movisanpodmienky.sk",5,"medium_risk","visa","",0,0,"false","false","false",0,"inactive","","","","","false","",0,"false","false","false","false","false","false","2025-07-21T14:23:14.038Z"
"invisalignprovider.se","https://invisalignprovider.se",5,"medium_risk","visa","",0,0,"false","false","false",0,"inactive","","","","","false","",0,"false","false","false","false","false","false","2025-07-21T14:23:14.822Z"
"urbanpaws.se","https://urbanpaws.se",5,"medium_risk","aws","",0,0,"false","false","false",0,"inactive","","","","","false","",0,"false","false","false","false","false","false","2025-07-21T14:23:17.179Z"
"teslaproducts.se","https://teslaproducts.se",5,"medium_risk","tesla","",0,0,"false","false","false",0,"inactive","","","","","false","",0,"false","false","false","false","false","false","2025-07-21T14:23:21.113Z"
"amazonkatextil.sk","https://amazonkatextil.sk",5,"medium_risk","amazon","",0,0,"false","false","false",0,"inactive","","","","","false","",0,"false","false","false","false","false","false","2025-07-21T14:23:24.256Z"
"applemax.sk","https://applemax.sk",5,"medium_risk","apple","",0,0,"false","false","false",0,"inactive","","","","","false","",0,"false","false","false","false","false","false","2025-07-21T14:23:25.043Z"
"invisalignprovider.nu","https://invisalignprovider.nu",5,"medium_risk","visa","",0,0,"false","false","false",0,"inactive","","","","","false","",0,"false","false","false","false","false","false","2025-07-21T14:23:27.406Z"
"000apple.xyz","https://000apple.xyz",5,"medium_risk","apple","",0,0,"false","false","false",0,"inactive","","","","","false","SAFE",0,"false","true","false","false","false","true","2025-07-21T14:24:24.389Z"
"0049apple.app","https://0049apple.app",5,"medium_risk","apple","",0,0,"false","false","false",0,"inactive","","","","","false","SAFE",0,"false","true","true","false","false","true","2025-07-21T14:25:02.628Z"
"007gametada.com","https://007gametada.com",5,"medium_risk","meta","",0,0,"false","false","false",0,"unknown","","","","","false","SAFE",0,"false","true","false","false","false","true","2025-07-21T14:26:03.697Z"
"011-stripe.com","https://011-stripe.com",5,"medium_risk","stripe","",0,0,"false","false","false",0,"unknown","","","","","false","SAFE",0,"false","true","true","false","false","true","2025-07-21T14:28:27.583Z"
"012-stripe.com","https://012-stripe.com",5,"medium_risk","stripe","",0,0,"false","false","false",0,"unknown","","","","","false","SAFE",0,"false","true","true","false","false","true","2025-07-21T14:28:51.644Z"
"013-stripe.com","https://013-stripe.com",5,"medium_risk","stripe","",0,0,"false","false","false",0,"unknown","","","","","false","SAFE",0,"false","true","true","false","false","true","2025-07-21T14:29:10.181Z"
"014-stripe.com","https://014-stripe.com",5,"medium_risk","stripe","",0,0,"false","false","false",0,"unknown","","","","","false","SAFE",0,"false","true","true","false","false","true","2025-07-21T14:29:28.482Z"
