domain,url,risk_score,category,type,brand,keywords,vt_malicious,vt_suspicious,urlscan_overall_malicious,urlscan_engines_malicious,urlscan_community_malicious,urlscan_stats_malicious,whois_status,whois_registrar,whois_registration_date,whois_expiration_date,alienvault_verdict,alienvault_malicious,urlvoid_threat_level,urlvoid_detection_ratio,urlvoid_is_threat,vt_available,urlscan_available,whois_available,alienvault_available,urlvoid_available,timestamp
"zeocemmining.sk","https://zeocemmining.sk",3,"blacklist_match","blacklist_match","","mining",0,0,"false","false","false",0,"inactive","","","","","false","",0,"false","false","false","false","false","false","2025-07-23T08:44:49.879Z"
"drive-google.sk","https://drive-google.sk",5,"medium_risk","enterprise_target","google","",0,0,"false","false","false",0,"inactive","","","","","false","",0,"false","false","false","false","false","false","2025-07-23T08:44:50.664Z"
"naradiezhurbanky.sk","https://naradiezhurbanky.sk",3,"blacklist_match","blacklist_match","","bank",0,0,"false","false","false",0,"inactive","","","","","false","",0,"false","false","false","false","false","false","2025-07-23T08:44:51.446Z"
"miraaccounting.se","https://miraaccounting.se",3,"blacklist_match","blacklist_match","","account",0,0,"false","false","false",0,"inactive","","","","","false","",0,"false","false","false","false","false","false","2025-07-23T08:44:52.229Z"
"cryptocartel.sk","https://cryptocartel.sk",3,"blacklist_match","blacklist_match","","crypto",0,0,"false","false","false",0,"inactive","","","","","false","",0,"false","false","false","false","false","false","2025-07-23T08:44:53.014Z"
"bankrot-zadarmo.sk","https://bankrot-zadarmo.sk",3,"blacklist_match","blacklist_match","","bank",0,0,"false","false","false",0,"inactive","","","","","false","",0,"false","false","false","false","false","false","2025-07-23T08:44:53.800Z"
"metalmaster.se","https://metalmaster.se",5,"medium_risk","enterprise_target","meta","",0,0,"false","false","false",0,"inactive","","","","","false","",0,"false","false","false","false","false","false","2025-07-23T08:44:54.582Z"
"cryptokultur.se","https://cryptokultur.se",3,"blacklist_match","blacklist_match","","crypto",0,0,"false","false","false",0,"inactive","","","","","false","",0,"false","false","false","false","false","false","2025-07-23T08:44:55.372Z"
"urbanpaws.se","https://urbanpaws.se",5,"medium_risk","enterprise_target","aws","",0,0,"false","false","false",0,"inactive","","","","","false","",0,"false","false","false","false","false","false","2025-07-23T08:44:56.163Z"
"bankeryds-pizzeria.se","https://bankeryds-pizzeria.se",3,"blacklist_match","blacklist_match","","bank",0,0,"false","false","false",0,"inactive","","","","","false","",0,"false","false","false","false","false","false","2025-07-23T08:44:56.949Z"
"pawswholesale.se","https://pawswholesale.se",5,"medium_risk","enterprise_target","aws","",0,0,"false","false","false",0,"inactive","","","","","false","",0,"false","false","false","false","false","false","2025-07-23T08:44:57.737Z"
"intellais.sk","https://intellais.sk",5,"medium_risk","enterprise_target","intel","",0,0,"false","false","false",0,"inactive","","","","","false","",0,"false","false","false","false","false","false","2025-07-23T08:44:58.522Z"
"zeocem-mining.sk","https://zeocem-mining.sk",3,"blacklist_match","blacklist_match","","mining",0,0,"false","false","false",0,"inactive","","","","","false","",0,"false","false","false","false","false","false","2025-07-23T08:44:59.303Z"
"returmetall.se","https://returmetall.se",5,"medium_risk","enterprise_target","meta","",0,0,"false","false","false",0,"inactive","","","","","false","",0,"false","false","false","false","false","false","2025-07-23T08:45:00.096Z"
"movisanpodmienky.sk","https://movisanpodmienky.sk",5,"medium_risk","enterprise_target","visa","",0,0,"false","false","false",0,"inactive","","","","","false","",0,"false","false","false","false","false","false","2025-07-23T08:45:00.882Z"
"accessionintelligence.se","https://accessionintelligence.se",5,"medium_risk","enterprise_target","intel","",0,0,"false","false","false",0,"inactive","","","","","false","",0,"false","false","false","false","false","false","2025-07-23T08:45:01.666Z"
"banketa.sk","https://banketa.sk",3,"blacklist_match","blacklist_match","","bank",0,0,"false","false","false",0,"inactive","","","","","false","",0,"false","false","false","false","false","false","2025-07-23T08:45:02.455Z"
"krabbanknut.se","https://krabbanknut.se",3,"blacklist_match","blacklist_match","","bank",0,0,"false","false","false",0,"inactive","","","","","false","",0,"false","false","false","false","false","false","2025-07-23T08:45:03.241Z"
"movisanpodmienky.sk","https://movisanpodmienky.sk",5,"medium_risk","enterprise_target","visa","",0,0,"false","false","false",0,"inactive","","","","","false","",0,"false","false","false","false","false","false","2025-07-23T08:45:04.024Z"
"metallfakta.se","https://metallfakta.se",5,"medium_risk","enterprise_target","meta","",0,0,"false","false","false",0,"inactive","","","","","false","",0,"false","false","false","false","false","false","2025-07-23T08:45:04.810Z"
"celion-accounting.se","https://celion-accounting.se",3,"blacklist_match","blacklist_match","","account",0,0,"false","false","false",0,"inactive","","","","","false","",0,"false","false","false","false","false","false","2025-07-23T08:45:05.595Z"
"unicreditbank.se","https://unicreditbank.se",3,"blacklist_match","blacklist_match","","bank",0,0,"false","false","false",0,"inactive","","","","","false","",0,"false","false","false","false","false","false","2025-07-23T08:45:06.381Z"
"inteligentne-systemy.sk","https://inteligentne-systemy.sk",5,"medium_risk","enterprise_target","intel","",0,0,"false","false","false",0,"inactive","","","","","false","",0,"false","false","false","false","false","false","2025-07-23T08:45:07.166Z"
"cryptokultur.se","https://cryptokultur.se",3,"blacklist_match","blacklist_match","","crypto",0,0,"false","false","false",0,"inactive","","","","","false","",0,"false","false","false","false","false","false","2025-07-23T08:45:07.947Z"
"accessionintelligence.se","https://accessionintelligence.se",5,"medium_risk","enterprise_target","intel","",0,0,"false","false","false",0,"inactive","","","","","false","",0,"false","false","false","false","false","false","2025-07-23T08:45:08.730Z"
"accountbuddy.se","https://accountbuddy.se",3,"blacklist_match","blacklist_match","","account",0,0,"false","false","false",0,"inactive","","","","","false","",0,"false","false","false","false","false","false","2025-07-23T08:45:09.513Z"
"bankerydspizzeria.se","https://bankerydspizzeria.se",3,"blacklist_match","blacklist_match","","bank",0,0,"false","false","false",0,"inactive","","","","","false","",0,"false","false","false","false","false","false","2025-07-23T08:45:10.297Z"
"zeocem-mining.sk","https://zeocem-mining.sk",3,"blacklist_match","blacklist_match","","mining",0,0,"false","false","false",0,"inactive","","","","","false","",0,"false","false","false","false","false","false","2025-07-23T08:45:11.088Z"
"interintel.ee","https://interintel.ee",5,"medium_risk","enterprise_target","intel","",0,0,"false","false","false",0,"inactive","","","","","false","",0,"false","false","false","false","false","false","2025-07-23T08:45:11.874Z"
"returmetall.se","https://returmetall.se",5,"medium_risk","enterprise_target","meta","",0,0,"false","false","false",0,"inactive","","","","","false","",0,"false","false","false","false","false","false","2025-07-23T08:45:12.658Z"
"jpmorganpersonalinvesting.sk","https://jpmorganpersonalinvesting.sk",5,"medium_risk","enterprise_target","jpmorgan","",0,0,"false","false","false",0,"inactive","","","","","false","",0,"false","false","false","false","false","false","2025-07-23T08:45:13.441Z"
"cryptowave.se","https://cryptowave.se",3,"blacklist_match","blacklist_match","","crypto",0,0,"false","false","false",0,"inactive","","","","","false","",0,"false","false","false","false","false","false","2025-07-23T08:45:14.656Z"
"whitepaws.ee","https://whitepaws.ee",5,"medium_risk","enterprise_target","aws","",0,0,"false","false","false",0,"inactive","","","","","false","",0,"false","false","false","false","false","false","2025-07-23T08:45:15.473Z"
"invisalignprovider.nu","https://invisalignprovider.nu",5,"medium_risk","enterprise_target","visa","",0,0,"false","false","false",0,"inactive","","","","","false","",0,"false","false","false","false","false","false","2025-07-23T08:45:16.270Z"
"incometaxinswedenguide.se","https://incometaxinswedenguide.se",5,"medium_risk","enterprise_target","meta","",0,0,"false","false","false",0,"inactive","","","","","false","",0,"false","false","false","false","false","false","2025-07-23T08:45:17.077Z"
"grantbank.nu","https://grantbank.nu",3,"blacklist_match","blacklist_match","","bank",0,0,"false","false","false",0,"inactive","","","","","false","",0,"false","false","false","false","false","false","2025-07-23T08:45:17.868Z"
"wero-wallet.se","https://wero-wallet.se",3,"blacklist_match","blacklist_match","","wallet",0,0,"false","false","false",0,"inactive","","","","","false","",0,"false","false","false","false","false","false","2025-07-23T08:45:18.659Z"
"amazonkatextil.sk","https://amazonkatextil.sk",5,"medium_risk","enterprise_target","amazon","",0,0,"false","false","false",0,"inactive","","","","","false","",0,"false","false","false","false","false","false","2025-07-23T08:45:19.450Z"
"pawswholesale.se","https://pawswholesale.se",5,"medium_risk","enterprise_target","aws","",0,0,"false","false","false",0,"inactive","","","","","false","",0,"false","false","false","false","false","false","2025-07-23T08:45:20.291Z"
"artificialsuperintelligence.se","https://artificialsuperintelligence.se",5,"medium_risk","enterprise_target","intel","",0,0,"false","false","false",0,"inactive","","","","","false","",0,"false","false","false","false","false","false","2025-07-23T08:45:21.113Z"
"bankov427.sk","https://bankov427.sk",3,"blacklist_match","blacklist_match","","bank",0,0,"false","false","false",0,"inactive","","","","","false","",0,"false","false","false","false","false","false","2025-07-23T08:45:21.942Z"
"kallebanka.se","https://kallebanka.se",3,"blacklist_match","blacklist_match","","bank",0,0,"false","false","false",0,"inactive","","","","","false","",0,"false","false","false","false","false","false","2025-07-23T08:45:22.763Z"
"wineoracle.se","https://wineoracle.se",5,"medium_risk","enterprise_target","oracle","",0,0,"false","false","false",0,"inactive","","","","","false","",0,"false","false","false","false","false","false","2025-07-23T08:45:23.552Z"
"cryptomark.se","https://cryptomark.se",3,"blacklist_match","blacklist_match","","crypto",0,0,"false","false","false",0,"inactive","","","","","false","",0,"false","false","false","false","false","false","2025-07-23T08:45:24.336Z"
"verktygsbanken.nu","https://verktygsbanken.nu",3,"blacklist_match","blacklist_match","","bank",0,0,"false","false","false",0,"inactive","","","","","false","",0,"false","false","false","false","false","false","2025-07-23T08:45:25.119Z"
"kundbank.se","https://kundbank.se",3,"blacklist_match","blacklist_match","","bank",0,0,"false","false","false",0,"inactive","","","","","false","",0,"false","false","false","false","false","false","2025-07-23T08:45:25.906Z"
"applesin.se","https://applesin.se",5,"medium_risk","enterprise_target","apple","",0,0,"false","false","false",0,"inactive","","","","","false","",0,"false","false","false","false","false","false","2025-07-23T08:45:26.693Z"
"mauth.se","https://mauth.se",3,"blacklist_match","blacklist_match","","auth",0,0,"false","false","false",0,"inactive","","","","","false","",0,"false","false","false","false","false","false","2025-07-23T08:45:27.480Z"
"ehandelsbanken.se","https://ehandelsbanken.se",3,"blacklist_match","blacklist_match","","bank",0,0,"false","false","false",0,"inactive","","","","","false","",0,"false","false","false","false","false","false","2025-07-23T08:45:28.268Z"
"metalmaster.se","https://metalmaster.se",5,"medium_risk","enterprise_target","meta","",0,0,"false","false","false",0,"inactive","","","","","false","",0,"false","false","false","false","false","false","2025-07-23T08:45:29.053Z"
"undefined","undefined",undefined,"undefined","unknown","","",undefined,undefined,"false","false","false",0,"","","","","","false","",0,"false","false","false","false","false","false","undefined"
"draccounting.sk","https://draccounting.sk",3,"blacklist_match","blacklist_match","","account",0,0,"false","false","false",0,"inactive","","","","","false","",0,"false","false","false","false","false","false","2025-07-23T08:45:30.857Z"
"junebank.se","https://junebank.se",3,"blacklist_match","blacklist_match","","bank",0,0,"false","false","false",0,"inactive","","","","","false","",0,"false","false","false","false","false","false","2025-07-23T08:45:31.641Z"
"devisafe.se","https://devisafe.se",5,"medium_risk","enterprise_target","visa","",0,0,"false","false","false",0,"inactive","","","","","false","",0,"false","false","false","false","false","false","2025-07-23T08:45:32.435Z"
"bankrot-zadarmo.sk","https://bankrot-zadarmo.sk",3,"blacklist_match","blacklist_match","","bank",0,0,"false","false","false",0,"inactive","","","","","false","",0,"false","false","false","false","false","false","2025-07-23T08:45:33.220Z"
"intellais.sk","https://intellais.sk",5,"medium_risk","enterprise_target","intel","",0,0,"false","false","false",0,"inactive","","","","","false","",0,"false","false","false","false","false","false","2025-07-23T08:45:34.006Z"
"lovisafahlgren.se","https://lovisafahlgren.se",5,"medium_risk","enterprise_target","visa","",0,0,"false","false","false",0,"inactive","","","","","false","",0,"false","false","false","false","false","false","2025-07-23T08:45:34.790Z"
"lovisaulrika.se","https://lovisaulrika.se",5,"medium_risk","enterprise_target","visa","",0,0,"false","false","false",0,"inactive","","","","","false","",0,"false","false","false","false","false","false","2025-07-23T08:45:35.574Z"
"invisalignkampanj.nu","https://invisalignkampanj.nu",5,"medium_risk","enterprise_target","visa","",0,0,"false","false","false",0,"inactive","","","","","false","",0,"false","false","false","false","false","false","2025-07-23T08:45:36.355Z"
"upplevamazonas.se","https://upplevamazonas.se",5,"medium_risk","enterprise_target","amazon","",0,0,"false","false","false",0,"inactive","","","","","false","",0,"false","false","false","false","false","false","2025-07-23T08:45:37.139Z"
"invisalignkampanj.se","https://invisalignkampanj.se",5,"medium_risk","enterprise_target","visa","",0,0,"false","false","false",0,"inactive","","","","","false","",0,"false","false","false","false","false","false","2025-07-23T08:45:37.920Z"
"vykupbankoviek.sk","https://vykupbankoviek.sk",3,"blacklist_match","blacklist_match","","bank",0,0,"false","false","false",0,"inactive","","","","","false","",0,"false","false","false","false","false","false","2025-07-23T08:45:38.702Z"
"qranitbank.nu","https://qranitbank.nu",3,"blacklist_match","blacklist_match","","bank",0,0,"false","false","false",0,"inactive","","","","","false","",0,"false","false","false","false","false","false","2025-07-23T08:45:39.490Z"
"cryptocartel.sk","https://cryptocartel.sk",3,"blacklist_match","blacklist_match","","crypto",0,0,"false","false","false",0,"inactive","","","","","false","",0,"false","false","false","false","false","false","2025-07-23T08:45:40.274Z"
"aisuperintelligence.se","https://aisuperintelligence.se",5,"medium_risk","enterprise_target","intel","",0,0,"false","false","false",0,"inactive","","","","","false","",0,"false","false","false","false","false","false","2025-07-23T08:45:41.060Z"
"jetbank.sk","https://jetbank.sk",3,"blacklist_match","blacklist_match","","bank",0,0,"false","false","false",0,"inactive","","","","","false","",0,"false","false","false","false","false","false","2025-07-23T08:45:41.842Z"
"teslaproducts.se","https://teslaproducts.se",5,"medium_risk","enterprise_target","tesla","",0,0,"false","false","false",0,"inactive","","","","","false","",0,"false","false","false","false","false","false","2025-07-23T08:45:42.629Z"
"applemax.sk","https://applemax.sk",5,"medium_risk","enterprise_target","apple","",0,0,"false","false","false",0,"inactive","","","","","false","",0,"false","false","false","false","false","false","2025-07-23T08:45:43.413Z"
"account-it.ee","https://account-it.ee",3,"blacklist_match","blacklist_match","","account",0,0,"false","false","false",0,"inactive","","","","","false","",0,"false","false","false","false","false","false","2025-07-23T08:45:44.196Z"
"invisalignprovider.se","https://invisalignprovider.se",5,"medium_risk","enterprise_target","visa","",0,0,"false","false","false",0,"inactive","","","","","false","",0,"false","false","false","false","false","false","2025-07-23T08:45:44.986Z"
"showpaws.se","https://showpaws.se",5,"medium_risk","enterprise_target","aws","",0,0,"false","false","false",0,"inactive","","","","","false","",0,"false","false","false","false","false","false","2025-07-23T08:45:45.770Z"
"0000apple.com","https://0000apple.com",10,"confirmed_threat","enterprise_target","apple","",2,1,"false","false","false",0,"unknown","","","","","false","SAFE",0,"false","true","true","false","false","true","2025-07-23T08:46:06.002Z"
"0000private0000secure0000message0000.com","https://0000private0000secure0000message0000.com",3,"blacklist_match","blacklist_match","","secure",0,0,"false","false","false",0,"unknown","","","","","false","SAFE",0,"false","true","false","false","false","true","2025-07-23T08:46:25.256Z"
"000apple.xyz","https://000apple.xyz",5,"medium_risk","enterprise_target","apple","",0,0,"false","false","false",0,"inactive","","","","","false","SAFE",0,"false","true","false","false","false","true","2025-07-23T08:46:26.049Z"
"000hq000private00secure00message.com","https://000hq000private00secure00message.com",3,"blacklist_match","blacklist_match","","secure",0,0,"false","false","false",0,"unknown","","","","","false","SAFE",0,"false","true","true","false","false","true","2025-07-23T08:46:45.600Z"
"001win-login.com","https://001win-login.com",3,"blacklist_match","blacklist_match","","login",0,0,"false","false","false",0,"unknown","","","","","false","SAFE",0,"false","true","true","false","false","true","2025-07-23T08:47:04.485Z"
"0049apple.app","https://0049apple.app",5,"medium_risk","enterprise_target","apple","",0,0,"false","false","false",0,"inactive","","","","","false","SAFE",0,"false","true","true","false","false","true","2025-07-23T08:47:05.282Z"
"0055betlogin.com","https://0055betlogin.com",13.3,"confirmed_threat","blacklist_match","","login",0,0,"false","false","false",0,"unknown","","","","","false","HIGH",2.564102564102564,"true","true","true","false","false","true","2025-07-23T08:47:25.952Z"
"006bet-login.com","https://006bet-login.com",3,"blacklist_match","blacklist_match","","login",0,0,"false","false","false",0,"unknown","","","","","false","SAFE",0,"false","true","true","false","false","true","2025-07-23T08:47:43.741Z"
"0077betlogin.com","https://0077betlogin.com",13.3,"confirmed_threat","blacklist_match","","login",0,0,"false","false","false",0,"unknown","","","","","false","HIGH",2.564102564102564,"true","true","true","false","false","true","2025-07-23T08:48:11.364Z"
"007game-login.com","https://007game-login.com",3,"blacklist_match","blacklist_match","","login",0,0,"false","false","false",0,"unknown","","","","","false","SAFE",0,"false","true","true","false","false","true","2025-07-23T08:48:29.598Z"
"007gametada.com","https://007gametada.com",5,"medium_risk","enterprise_target","meta","",0,0,"false","false","false",0,"unknown","","","","","false","SAFE",0,"false","true","false","false","false","true","2025-07-23T08:48:53.976Z"
"0088bet-login.com","https://0088bet-login.com",17.3,"confirmed_threat","blacklist_match","","login",2,0,"false","false","false",0,"unknown","","","","","false","HIGH",2.564102564102564,"true","true","false","false","false","true","2025-07-23T08:49:13.533Z"
"0088betlogin.com","https://0088betlogin.com",3,"blacklist_match","blacklist_match","","login",0,0,"false","false","false",0,"unknown","","","","","false","SAFE",0,"false","true","true","false","false","true","2025-07-23T08:49:39.473Z"
"008betlogin.com","https://008betlogin.com",3,"blacklist_match","blacklist_match","","login",0,0,"false","false","false",0,"unknown","","","","","false","SAFE",0,"false","true","true","false","false","true","2025-07-23T08:50:01.931Z"
"0099bet-login.com","https://0099bet-login.com",3,"blacklist_match","blacklist_match","","login",0,0,"false","false","false",0,"unknown","","","","","false","SAFE",0,"false","true","true","false","false","true","2025-07-23T08:50:30.622Z"
"00secure00message00private00email00.com","https://00secure00message00private00email00.com",3,"blacklist_match","blacklist_match","","secure",0,0,"false","false","false",0,"unknown","","","","","false","SAFE",0,"false","true","true","false","false","true","2025-07-23T08:50:50.480Z"
"0110bitcoin.xyz","https://0110bitcoin.xyz",3,"blacklist_match","blacklist_match","","bitcoin",0,0,"false","false","false",0,"inactive","","","","","false","SAFE",0,"false","true","true","false","false","true","2025-07-23T08:50:51.276Z"
"0110wallet.xyz","https://0110wallet.xyz",3,"blacklist_match","blacklist_match","","wallet",0,0,"false","false","false",0,"inactive","","","","","false","SAFE",0,"false","true","true","false","false","true","2025-07-23T08:50:52.064Z"
