domain,url,risk_score,category,brand,keywords,vt_malicious,vt_suspicious,urlscan_overall_malicious,urlscan_engines_malicious,urlscan_community_malicious,urlscan_stats_malicious,whois_status,whois_registrar,whois_registration_date,whois_expiration_date,alienvault_verdict,alienvault_malicious,urlvoid_threat_level,urlvoid_detection_ratio,urlvoid_is_threat,vt_available,urlscan_available,whois_available,alienvault_available,urlvoid_available,timestamp
"1declinepayment.com","https://1declinepayment.com",29,"confirmed_threat","","payment",12,2,"false","false","false",0,"unknown","","","","","false","SAFE",0,"false","true","true","false","false","true","2025-07-24T07:41:38.930Z"
"18593-crypto.com","https://18593-crypto.com",21,"confirmed_threat","","crypto",9,0,"false","false","false",0,"unknown","","","","","false","SAFE",0,"false","true","false","false","false","true","2025-07-24T07:31:33.265Z"
"18betlogin.net","https://18betlogin.net",21,"confirmed_threat","","login",9,0,"false","false","false",0,"inactive","","","","","false","SAFE",0,"false","true","false","false","false","true","2025-07-24T07:31:34.072Z"
"18-loginkesinisaja.store","https://18-loginkesinisaja.store",21,"confirmed_threat","","login",9,0,"false","false","false",0,"inactive","","","","","false","SAFE",0,"false","true","false","false","false","true","2025-07-24T07:31:34.870Z"
"18nsfw-verify.xyz","https://18nsfw-verify.xyz",21,"confirmed_threat","","verify",9,0,"false","false","false",0,"inactive","","","","","false","SAFE",0,"false","true","false","false","false","true","2025-07-24T07:31:35.665Z"
"1win-login-bangladesh.com","https://1win-login-bangladesh.com",20.3,"confirmed_threat","","login",2,3,"false","false","false",0,"unknown","","","","","false","HIGH",2.564102564102564,"true","true","false","false","false","true","2025-07-24T07:50:13.267Z"
"2fa-login.com","https://2fa-login.com",20,"confirmed_threat","","login",8,1,"false","false","false",0,"unknown","","","","","false","SAFE",0,"false","true","true","false","false","true","2025-07-24T08:21:37.271Z"
"02ukjulyupdate.com","https://02ukjulyupdate.com",19.3,"confirmed_threat","","update",2,2,"false","false","false",0,"unknown","","","","","false","HIGH",2.564102564102564,"true","true","false","false","false","true","2025-07-24T06:56:53.789Z"
"03-loginkesinisaja.store","https://03-loginkesinisaja.store",19.3,"confirmed_threat","","login",2,2,"false","false","false",0,"inactive","","","","","false","HIGH",2.564102564102564,"true","true","false","false","false","true","2025-07-24T06:56:54.612Z"
"0055betlogin.com","https://0055betlogin.com",18.3,"confirmed_threat","","login",2,1,"false","false","false",0,"unknown","","","","","false","HIGH",2.564102564102564,"true","true","true","false","false","true","2025-07-24T06:50:31.178Z"
"0077betlogin.com","https://0077betlogin.com",18.3,"confirmed_threat","","login",2,1,"false","false","false",0,"unknown","","","","","false","HIGH",2.564102564102564,"true","true","true","false","false","true","2025-07-24T06:51:08.657Z"
"0088bet-login.com","https://0088bet-login.com",17.3,"confirmed_threat","","login",2,0,"false","false","false",0,"unknown","","","","","false","HIGH",2.564102564102564,"true","true","false","false","false","true","2025-07-24T06:52:30.819Z"
"10xgrowthaccount.com","https://10xgrowthaccount.com",17.3,"confirmed_threat","","account",2,0,"false","false","false",0,"unknown","","","","","false","HIGH",2.564102564102564,"true","true","true","false","false","true","2025-07-24T07:08:07.720Z"
"1111bet-login.com","https://1111bet-login.com",17.3,"confirmed_threat","","login",2,0,"false","false","false",0,"unknown","","","","","false","HIGH",2.564102564102564,"true","true","false","false","false","true","2025-07-24T07:08:54.045Z"
"21-loginkesinisaja.store","https://21-loginkesinisaja.store",17.3,"confirmed_threat","","login",2,0,"false","false","false",0,"inactive","","","","","false","HIGH",2.564102564102564,"true","true","false","false","false","true","2025-07-24T08:02:00.518Z"
"2222bet-login.com","https://2222bet-login.com",17.3,"confirmed_threat","","login",2,0,"false","false","false",0,"unknown","","","","","false","HIGH",2.564102564102564,"true","true","true","false","false","true","2025-07-24T08:03:46.336Z"
"100bitcoin.info","https://100bitcoin.info",16.5,"confirmed_threat","","bitcoin",1,1,"false","false","false",0,"inactive","","","","","false","HIGH",5.128205128205128,"true","true","true","false","false","true","2025-07-24T07:02:28.781Z"
"1010betloginapp.com","https://1010betloginapp.com",13.3,"confirmed_threat","","login",0,0,"false","false","false",0,"unknown","","","","","false","HIGH",2.564102564102564,"true","true","false","false","false","true","2025-07-24T07:04:09.097Z"
"2bbilling.com","https://2bbilling.com",13.3,"confirmed_threat","","billing",0,0,"false","false","false",0,"unknown","","","","","false","HIGH",2.564102564102564,"true","false","false","false","false","true","2025-07-24T08:19:59.341Z"
"2betlogin.net","https://2betlogin.net",13.3,"confirmed_threat","","login",0,0,"false","false","false",0,"inactive","","","","","false","HIGH",2.564102564102564,"true","false","false","false","false","true","2025-07-24T08:20:00.158Z"
"2lbetlogin.com","https://2lbetlogin.com",13.3,"confirmed_threat","","login",0,0,"false","false","false",0,"unknown","","","","","false","HIGH",2.564102564102564,"true","true","false","false","false","true","2025-07-24T08:23:36.398Z"
"336betlogin.com","https://336betlogin.com",13.3,"confirmed_threat","","login",0,0,"false","false","false",0,"unknown","","","","","false","HIGH",2.564102564102564,"true","true","false","false","false","true","2025-07-24T08:35:33.680Z"
"336betlogin.net","https://336betlogin.net",13.3,"confirmed_threat","","login",0,0,"false","false","false",0,"inactive","","","","","false","HIGH",2.564102564102564,"true","true","false","false","false","true","2025-07-24T08:35:34.517Z"
"337bitcoin.online","https://337bitcoin.online",13.3,"confirmed_threat","","bitcoin",0,0,"false","false","false",0,"inactive","","","","","false","HIGH",2.564102564102564,"true","true","false","false","false","true","2025-07-24T08:35:35.319Z"
"339bitcoin.info","https://339bitcoin.info",13.3,"confirmed_threat","","bitcoin",0,0,"false","false","false",0,"inactive","","","","","false","HIGH",2.564102564102564,"true","true","false","false","false","true","2025-07-24T08:35:36.118Z"
"1authentication-td.xyz","https://1authentication-td.xyz",12,"confirmed_threat","","auth",3,3,"false","false","false",0,"inactive","","","","","false","SAFE",0,"false","true","false","false","false","true","2025-07-24T07:37:18.953Z"
"1bank777.xyz","https://1bank777.xyz",12,"confirmed_threat","","bank",3,3,"false","false","false",0,"inactive","","","","","false","SAFE",0,"false","true","false","false","false","true","2025-07-24T07:37:21.347Z"
"321teamloginkafaceit.com","https://321teamloginkafaceit.com",11,"confirmed_threat","","login",4,0,"false","false","false",0,"unknown","","","","","false","SAFE",0,"false","true","true","false","false","true","2025-07-24T08:32:05.028Z"
"199win-login.com","https://199win-login.com",7,"confirmed_threat","","login",2,0,"false","false","false",0,"unknown","","","","","false","SAFE",0,"false","true","true","false","false","true","2025-07-24T07:36:34.259Z"
"1cryptobank.com","https://1cryptobank.com",7,"confirmed_threat","","crypto;bank",2,0,"false","false","false",0,"unknown","","","","","false","SAFE",0,"false","true","true","false","false","true","2025-07-24T07:40:01.088Z"
"1stcbank.com","https://1stcbank.com",7,"confirmed_threat","","bank",2,0,"false","false","false",0,"unknown","","","","","false","SAFE",0,"false","true","false","false","false","true","2025-07-24T07:45:59.435Z"
"1winbetlogin.com","https://1winbetlogin.com",7,"confirmed_threat","","login",2,0,"false","false","false",0,"unknown","","","","","false","SAFE",0,"false","true","false","false","false","true","2025-07-24T07:49:05.741Z"
"1win-bitcoinstore.online","https://1win-bitcoinstore.online",7,"confirmed_threat","","bitcoin",2,0,"false","false","false",0,"inactive","","","","","false","SAFE",0,"false","true","false","false","false","true","2025-07-24T07:49:07.581Z"
"1win-casino-free-bitcoin.online","https://1win-casino-free-bitcoin.online",7,"confirmed_threat","","bitcoin",2,0,"false","false","false",0,"inactive","","","","","false","SAFE",0,"false","true","false","false","false","true","2025-07-24T07:49:09.176Z"
"323bitcoin.info","https://323bitcoin.info",7,"confirmed_threat","","bitcoin",2,0,"false","false","false",0,"inactive","","","","","false","SAFE",0,"false","true","false","false","false","true","2025-07-24T08:32:52.685Z"
"133betlogin.com","https://133betlogin.com",6,"confirmed_threat","","login",1,1,"false","false","false",0,"unknown","","","","","false","SAFE",0,"false","true","false","false","false","true","2025-07-24T07:23:10.476Z"
"133bitcoin.info","https://133bitcoin.info",6,"confirmed_threat","","bitcoin",1,1,"false","false","false",0,"inactive","","","","","false","SAFE",0,"false","true","false","false","false","true","2025-07-24T07:23:11.273Z"
"167betlogin.com","https://167betlogin.com",6,"confirmed_threat","","login",1,1,"false","false","false",0,"unknown","","","","","false","SAFE",0,"false","true","true","false","false","true","2025-07-24T07:28:41.112Z"
"168bitcoin.info","https://168bitcoin.info",6,"confirmed_threat","","bitcoin",1,1,"false","false","false",0,"inactive","","","","","false","SAFE",0,"false","true","true","false","false","true","2025-07-24T07:28:41.921Z"
"16-loginkesinisaja.store","https://16-loginkesinisaja.store",6,"confirmed_threat","","login",1,1,"false","false","false",0,"inactive","","","","","false","SAFE",0,"false","true","true","false","false","true","2025-07-24T07:28:42.722Z"
"16loginrekening777.online","https://16loginrekening777.online",6,"confirmed_threat","","login",1,1,"false","false","false",0,"inactive","","","","","false","SAFE",0,"false","true","true","false","false","true","2025-07-24T07:28:43.531Z"
"1xbet-wallet.com","https://1xbet-wallet.com",6,"confirmed_threat","","wallet",1,1,"false","false","false",0,"unknown","","","","","false","SAFE",0,"false","true","false","false","false","true","2025-07-24T07:52:34.536Z"
"006bet-login.com","https://006bet-login.com",5,"medium_risk","","login",0,2,"false","false","false",0,"unknown","","","","","false","SAFE",0,"false","true","true","false","false","true","2025-07-24T06:50:50.657Z"
"123bitcoin4u.com","https://123bitcoin4u.com",5,"confirmed_threat","","bitcoin",1,0,"false","false","false",0,"unknown","","","","","false","SAFE",0,"false","true","false","false","false","true","2025-07-24T07:18:22.741Z"
"123bitcoin.online","https://123bitcoin.online",5,"confirmed_threat","","bitcoin",1,0,"false","false","false",0,"inactive","","","","","false","SAFE",0,"false","true","false","false","false","true","2025-07-24T07:18:23.543Z"
"123bitcoin.store","https://123bitcoin.store",5,"confirmed_threat","","bitcoin",1,0,"false","false","false",0,"inactive","","","","","false","SAFE",0,"false","true","false","false","false","true","2025-07-24T07:18:24.343Z"
"1clickpayment.com","https://1clickpayment.com",5,"confirmed_threat","","payment",1,0,"false","false","false",0,"unknown","","","","","false","SAFE",0,"false","true","false","false","false","true","2025-07-24T07:39:28.303Z"
"1crypto.ai","https://1crypto.ai",5,"confirmed_threat","","crypto",1,0,"false","false","false",0,"inactive","","","","","false","SAFE",0,"false","true","false","false","false","true","2025-07-24T07:39:29.120Z"
"2025stimuluspayment.com","https://2025stimuluspayment.com",5,"confirmed_threat","","payment",1,0,"false","false","false",0,"unknown","","","","","false","SAFE",0,"false","true","false","false","false","true","2025-07-24T07:55:55.938Z"
"247cryptofxtrading.com","https://247cryptofxtrading.com",5,"confirmed_threat","","crypto",1,0,"false","false","false",0,"unknown","","","","","false","SAFE",0,"false","true","true","false","false","true","2025-07-24T08:11:11.492Z"
"24auth.site","https://24auth.site",5,"confirmed_threat","","auth",1,0,"false","false","false",0,"inactive","","","","","false","SAFE",0,"false","true","true","false","false","true","2025-07-24T08:11:12.295Z"
"24betlogin.net","https://24betlogin.net",5,"confirmed_threat","","login",1,0,"false","false","false",0,"inactive","","","","","false","SAFE",0,"false","true","true","false","false","true","2025-07-24T08:11:13.091Z"
"1000bitcoinpage.com","https://1000bitcoinpage.com",4,"blacklist_match","","bitcoin",0,1,"false","false","false",0,"unknown","","","","","false","SAFE",0,"false","true","true","false","false","true","2025-07-24T07:00:56.798Z"
"1000update.com","https://1000update.com",4,"blacklist_match","","update",0,1,"false","false","false",0,"unknown","","","","","false","SAFE",0,"false","true","true","false","false","true","2025-07-24T07:01:25.677Z"
"100cryptocurrency.com","https://100cryptocurrency.com",4,"blacklist_match","","crypto",0,1,"false","false","false",0,"unknown","","","","","false","SAFE",0,"false","true","false","false","false","true","2025-07-24T07:02:51.805Z"
"1010-login.com","https://1010-login.com",4,"blacklist_match","","login",0,1,"false","false","false",0,"unknown","","","","","false","SAFE",0,"false","true","true","false","false","true","2025-07-24T07:04:41.587Z"
"118betlogin.com","https://118betlogin.com",4,"blacklist_match","","login",0,1,"false","false","false",0,"unknown","","","","","false","SAFE",0,"false","true","true","false","false","true","2025-07-24T07:11:16.185Z"
"123cryptocasinos.com","https://123cryptocasinos.com",4,"blacklist_match","","crypto",0,1,"false","false","false",0,"unknown","","","","","false","SAFE",0,"false","true","false","false","false","true","2025-07-24T07:18:51.907Z"
"1291crypto.com","https://1291crypto.com",4,"blacklist_match","","crypto",0,1,"false","false","false",0,"unknown","","","","","false","SAFE",0,"false","true","false","false","false","true","2025-07-24T07:21:51.046Z"
"12gacorlogin.site","https://12gacorlogin.site",4,"blacklist_match","","login",0,1,"false","false","false",0,"inactive","","","","","false","SAFE",0,"false","true","false","false","false","true","2025-07-24T07:21:51.848Z"
"12-loginkesinisaja.store","https://12-loginkesinisaja.store",4,"blacklist_match","","login",0,1,"false","false","false",0,"inactive","","","","","false","SAFE",0,"false","true","false","false","false","true","2025-07-24T07:21:52.644Z"
"157billingsley.com","https://157billingsley.com",4,"blacklist_match","","billing",0,1,"false","false","false",0,"unknown","","","","","false","SAFE",0,"false","true","false","false","false","true","2025-07-24T07:27:07.988Z"
"177bet-login.com","https://177bet-login.com",4,"blacklist_match","","login",0,1,"false","false","false",0,"unknown","","","","","false","SAFE",0,"false","true","true","false","false","true","2025-07-24T07:29:44.993Z"
"1xslots-login-argentina.com","https://1xslots-login-argentina.com",4,"blacklist_match","","login",0,1,"false","false","false",0,"unknown","","","","","false","SAFE",0,"false","true","false","false","false","true","2025-07-24T07:53:19.929Z"
"21betslogin.com","https://21betslogin.com",4,"blacklist_match","","login",0,1,"false","false","false",0,"unknown","","","","","false","SAFE",0,"false","true","false","false","false","true","2025-07-24T07:59:26.296Z"
"cryptocartel.sk","https://cryptocartel.sk",3,"blacklist_match","","crypto",0,0,"false","false","false",0,"inactive","","","","","false","",0,"false","false","false","false","false","false","2025-07-24T06:47:58.596Z"
"bankrot-zadarmo.sk","https://bankrot-zadarmo.sk",3,"blacklist_match","","bank",0,0,"false","false","false",0,"inactive","","","","","false","",0,"false","false","false","false","false","false","2025-07-24T06:47:59.386Z"
"miraaccounting.se","https://miraaccounting.se",3,"blacklist_match","","account",0,0,"false","false","false",0,"inactive","","","","","false","",0,"false","false","false","false","false","false","2025-07-24T06:48:01.749Z"
"dinarbetsbank.se","https://dinarbetsbank.se",3,"blacklist_match","","bank",0,0,"false","false","false",0,"inactive","","","","","false","",0,"false","false","false","false","false","false","2025-07-24T06:48:04.104Z"
"zeocemmining.sk","https://zeocemmining.sk",3,"blacklist_match","","mining",0,0,"false","false","false",0,"inactive","","","","","false","",0,"false","false","false","false","false","false","2025-07-24T06:48:04.900Z"
"cryptokultur.se","https://cryptokultur.se",3,"blacklist_match","","crypto",0,0,"false","false","false",0,"inactive","","","","","false","",0,"false","false","false","false","false","false","2025-07-24T06:48:06.475Z"
"naradiezhurbanky.sk","https://naradiezhurbanky.sk",3,"blacklist_match","","bank",0,0,"false","false","false",0,"inactive","","","","","false","",0,"false","false","false","false","false","false","2025-07-24T06:48:08.830Z"
"zeocem-mining.sk","https://zeocem-mining.sk",3,"blacklist_match","","mining",0,0,"false","false","false",0,"inactive","","","","","false","",0,"false","false","false","false","false","false","2025-07-24T06:48:10.410Z"
"dinarbetsbank.se","https://dinarbetsbank.se",3,"blacklist_match","","bank",0,0,"false","false","false",0,"inactive","","","","","false","",0,"false","false","false","false","false","false","2025-07-24T06:48:11.196Z"
"lngaccounting.se","https://lngaccounting.se",3,"blacklist_match","","account",0,0,"false","false","false",0,"inactive","","","","","false","",0,"false","false","false","false","false","false","2025-07-24T06:48:15.126Z"
"mauth.se","https://mauth.se",3,"blacklist_match","","auth",0,0,"false","false","false",0,"inactive","","","","","false","",0,"false","false","false","false","false","false","2025-07-24T06:48:15.911Z"
"crypto2cash.se","https://crypto2cash.se",3,"blacklist_match","","crypto",0,0,"false","false","false",0,"inactive","","","","","false","",0,"false","false","false","false","false","false","2025-07-24T06:48:16.695Z"
"naradiezhurbanky.sk","https://naradiezhurbanky.sk",3,"blacklist_match","","bank",0,0,"false","false","false",0,"inactive","","","","","false","",0,"false","false","false","false","false","false","2025-07-24T06:48:18.269Z"
"banklaan.se","https://banklaan.se",3,"blacklist_match","","bank",0,0,"false","false","false",0,"inactive","","","","","false","",0,"false","false","false","false","false","false","2025-07-24T06:48:19.835Z"
"account-it.ee","https://account-it.ee",3,"blacklist_match","","account",0,0,"false","false","false",0,"inactive","","","","","false","",0,"false","false","false","false","false","false","2025-07-24T06:48:24.934Z"
"wero-wallet.se","https://wero-wallet.se",3,"blacklist_match","","wallet",0,0,"false","false","false",0,"inactive","","","","","false","",0,"false","false","false","false","false","false","2025-07-24T06:48:25.729Z"
"bankerydspizzeria.se","https://bankerydspizzeria.se",3,"blacklist_match","","bank",0,0,"false","false","false",0,"inactive","","","","","false","",0,"false","false","false","false","false","false","2025-07-24T06:48:27.311Z"
"amsecure.sk","https://amsecure.sk",3,"blacklist_match","","secure",0,0,"false","false","false",0,"inactive","","","","","false","",0,"false","false","false","false","false","false","2025-07-24T06:48:29.692Z"
"qranitbank.nu","https://qranitbank.nu",3,"blacklist_match","","bank",0,0,"false","false","false",0,"inactive","","","","","false","",0,"false","false","false","false","false","false","2025-07-24T06:48:31.263Z"
"ehandelsbanken.se","https://ehandelsbanken.se",3,"blacklist_match","","bank",0,0,"false","false","false",0,"inactive","","","","","false","",0,"false","false","false","false","false","false","2025-07-24T06:48:32.838Z"
"zeocem-mining.sk","https://zeocem-mining.sk",3,"blacklist_match","","mining",0,0,"false","false","false",0,"inactive","","","","","false","",0,"false","false","false","false","false","false","2025-07-24T06:48:35.985Z"
"cryptokultur.se","https://cryptokultur.se",3,"blacklist_match","","crypto",0,0,"false","false","false",0,"inactive","","","","","false","",0,"false","false","false","false","false","false","2025-07-24T06:48:40.967Z"
"unicreditbank.se","https://unicreditbank.se",3,"blacklist_match","","bank",0,0,"false","false","false",0,"inactive","","","","","false","",0,"false","false","false","false","false","false","2025-07-24T06:48:41.750Z"
"miraaccounting.se","https://miraaccounting.se",3,"blacklist_match","","account",0,0,"false","false","false",0,"inactive","","","","","false","",0,"false","false","false","false","false","false","2025-07-24T06:48:44.895Z"
"accountbuddy.se","https://accountbuddy.se",3,"blacklist_match","","account",0,0,"false","false","false",0,"inactive","","","","","false","",0,"false","false","false","false","false","false","2025-07-24T06:48:45.681Z"
"0000private0000secure0000message0000.com","https://0000private0000secure0000message0000.com",3,"blacklist_match","","secure",0,0,"false","false","false",0,"unknown","","","","","false","SAFE",0,"false","true","false","false","false","true","2025-07-24T06:49:28.209Z"
"000hq000private00secure00message.com","https://000hq000private00secure00message.com",3,"blacklist_match","","secure",0,0,"false","false","false",0,"unknown","","","","","false","SAFE",0,"false","true","true","false","false","true","2025-07-24T06:49:48.412Z"
"001win-login.com","https://001win-login.com",3,"blacklist_match","","login",0,0,"false","false","false",0,"unknown","","","","","false","SAFE",0,"false","true","true","false","false","true","2025-07-24T06:50:08.626Z"
"007game-login.com","https://007game-login.com",3,"blacklist_match","","login",0,0,"false","false","false",0,"unknown","","","","","false","SAFE",0,"false","true","true","false","false","true","2025-07-24T06:51:35.465Z"
"0088betlogin.com","https://0088betlogin.com",3,"blacklist_match","","login",0,0,"false","false","false",0,"unknown","","","","","false","SAFE",0,"false","true","true","false","false","true","2025-07-24T06:52:48.763Z"
"008betlogin.com","https://008betlogin.com",3,"blacklist_match","","login",0,0,"false","false","false",0,"unknown","","","","","false","SAFE",0,"false","true","true","false","false","true","2025-07-24T06:53:07.531Z"
"0099bet-login.com","https://0099bet-login.com",3,"blacklist_match","","login",0,0,"false","false","false",0,"unknown","","","","","false","SAFE",0,"false","true","true","false","false","true","2025-07-24T06:53:37.307Z"
"00secure00message00private00email00.com","https://00secure00message00private00email00.com",3,"blacklist_match","","secure",0,0,"false","false","false",0,"unknown","","","","","false","SAFE",0,"false","true","true","false","false","true","2025-07-24T06:54:00.926Z"
"0110bitcoin.xyz","https://0110bitcoin.xyz",3,"blacklist_match","","bitcoin",0,0,"false","false","false",0,"inactive","","","","","false","SAFE",0,"false","true","true","false","false","true","2025-07-24T06:54:01.720Z"
"0110wallet.xyz","https://0110wallet.xyz",3,"blacklist_match","","wallet",0,0,"false","false","false",0,"inactive","","","","","false","SAFE",0,"false","true","true","false","false","true","2025-07-24T06:54:02.511Z"
