domain,status_code,banned,report_found,has_engine_table,detection_count,undetection_count,unknown_count,total,final_url
0-downpayment.com,200,False,True,True,0,39,0,39,https://www.urlvoid.com/scan/0-downpayment.com/
0-web-hosting.com,200,False,True,True,0,39,0,39,https://www.urlvoid.com/scan/0-web-hosting.com/
0-web.com,200,False,True,True,0,39,0,39,https://www.urlvoid.com/scan/0-web.com/
0-webhosting.com,200,False,True,True,0,39,0,39,https://www.urlvoid.com/scan/0-webhosting.com/
0-ww.com,200,False,True,True,0,39,0,39,https://www.urlvoid.com/scan/0-ww.com/
0-www.com,200,False,True,True,0,39,0,39,https://www.urlvoid.com/scan/0-www.com/
00-clean.com,200,False,True,True,0,39,0,39,https://www.urlvoid.com/scan/00-clean.com/
0-artificial-intelligence.com,200,False,True,True,0,39,0,39,https://www.urlvoid.com/scan/0-artificial-intelligence.com/
00-clonesite.com,200,False,True,True,0,39,0,39,https://www.urlvoid.com/scan/00-clonesite.com/
00-group.com,200,False,True,True,0,39,0,39,https://www.urlvoid.com/scan/00-group.com/
000-ixactcontactssl.com,200,False,True,True,0,39,0,39,https://www.urlvoid.com/scan/000-ixactcontactssl.com/
00-swedbankwa.com,200,False,True,True,0,39,0,39,https://www.urlvoid.com/scan/00-swedbankwa.com/
000-mweb.com,200,False,True,True,0,39,0,39,https://www.urlvoid.com/scan/000-mweb.com/
000-online-casino.com,200,False,True,True,0,39,0,39,https://www.urlvoid.com/scan/000-online-casino.com/
00000-online-casinos.com,200,False,True,True,0,39,0,39,https://www.urlvoid.com/scan/00000-online-casinos.com/
000000000000login.com,200,False,True,True,0,39,0,39,https://www.urlvoid.com/scan/000000000000login.com/
00000001bitcoin.com,200,False,True,True,1,38,0,39,https://www.urlvoid.com/scan/00000001bitcoin.com/
00000001bitcoins.com,200,False,True,True,0,39,0,39,https://www.urlvoid.com/scan/00000001bitcoins.com/
000000box.com,200,False,True,True,0,39,0,39,https://www.urlvoid.com/scan/000000box.com/
000000web5cc00000cc.com,200,False,True,True,1,38,0,39,https://www.urlvoid.com/scan/000000web5cc00000cc.com/
0-mweb.com,200,False,True,True,2,37,0,39,https://www.urlvoid.com/scan/0-mweb.com/
000001my.com,200,False,True,True,0,39,0,39,https://www.urlvoid.com/scan/000001my.com/
00000gmail.com,200,False,True,True,0,39,0,39,https://www.urlvoid.com/scan/00000gmail.com/
00000cl.com,200,False,True,True,0,39,0,39,https://www.urlvoid.com/scan/00000cl.com/
00000nwebcamnow.com,200,False,True,True,0,39,0,39,https://www.urlvoid.com/scan/00000nwebcamnow.com/
0000bank.com,200,False,True,True,0,39,0,39,https://www.urlvoid.com/scan/0000bank.com/
00001my.com,200,False,True,True,0,39,0,39,https://www.urlvoid.com/scan/00001my.com/
0000cdn.com,200,False,True,True,0,39,0,39,https://www.urlvoid.com/scan/0000cdn.com/
