domain,source,matched_categories,matched_keywords,timestamp
028wwtx.com,ICANN,blacklistKeywords_fraud,ww,2025-08-29T12:12:56.370236
02v5cd7bclnh6kimljgs016gh5nn7pc7.com,ICANN,blacklistKeywords_fraud,cl,2025-08-29T12:12:56.748809
0451pay.com,ICANN,blacklistKeywords_fraud,pay,2025-08-29T12:12:57.753239
05l9ch6kkdlmtu636g7cllbn7udhovnl.com,ICANN,blacklistKeywords_fraud,cl,2025-08-29T12:12:59.125691
05nhc6ncl6vi8p8iegs4dq4b433fn28h.com,ICANN,blacklistKeywords_fraud,cl,2025-08-29T12:12:59.147824
074018ni2k05udt8pbh53dgpclq3dk80.com,ICANN,blacklistKeywords_fraud,cl,2025-08-29T12:13:00.163407
09sap1p5dd0ajfj51nsdlr2tefo8q5pu.com,ICANN,enterpriseBrands_it_top_100_extra,sap,2025-08-29T12:13:02.572913
0c6ebs8qn0ekrqommo64l8mtfclobum8.com,ICANN,blacklistKeywords_fraud,cl,2025-08-29T12:13:03.307036
0clbdov3o224f8hp99eugu5ga8ekicqd.com,ICANN,blacklistKeywords_fraud,cl,2025-08-29T12:13:03.450711
0ihclgdadkr3ii53iuv0c3natjesd2b9.com,ICANN,blacklistKeywords_fraud,cl,2025-08-29T12:13:05.061707
0j79i83sjehgibn1fqg7ka4dkocl1m51.com,ICANN,blacklistKeywords_fraud,cl,2025-08-29T12:13:05.260419
0k0hopt3e81lt9c2cll9p30fpdvppnh1.com,ICANN,blacklistKeywords_fraud,cl,2025-08-29T12:13:05.455831
0l5sgc8s4q1o7dtev8d1hpejo09csmkd.com,ICANN,enterpriseBrands_it_top_100_extra,hpe,2025-08-29T12:13:05.787475
0laa133epjl0mnefihcli57a2nd94bjj.com,ICANN,blacklistKeywords_fraud,cl,2025-08-29T12:13:05.843302
0lnjq549q8f6u2orn5m1l8gmcu3cl938.com,ICANN,blacklistKeywords_fraud,cl,2025-08-29T12:13:05.977439
0m0rvn1n2chii01a8ql2usapqaksbqh7.com,ICANN,enterpriseBrands_it_top_100_extra,sap,2025-08-29T12:13:06.070905
0mlasmalmvr3p6defhpev65ss53fbgjb.com,ICANN,enterpriseBrands_it_top_100_extra,hpe,2025-08-29T12:13:06.269624
0mofau1pacuhclg9r9el7ued5ncjjkjt.com,ICANN,blacklistKeywords_fraud,cl,2025-08-29T12:13:06.301345
0n2jaeb0rotch65e9apbqpfjcl7338ad.com,ICANN,blacklistKeywords_fraud,cl,2025-08-29T12:13:06.392361
0ogkhu6m61hfaeclc6nhtqv44drpc68f.com,ICANN,blacklistKeywords_fraud,cl,2025-08-29T12:13:06.882874
0p1qt4jqkclo1dc5gr39i8jq47e778t1.com,ICANN,blacklistKeywords_fraud,cl,2025-08-29T12:13:07.049309
0peulacl58pjgj7jdt3tfqfuai5sih44.com,ICANN,blacklistKeywords_fraud,cl,2025-08-29T12:13:07.158316
0q4f4vclrumfnlf9l19aifjtf8b60d74.com,ICANN,blacklistKeywords_fraud,cl,2025-08-29T12:13:07.342477
0s8vcpclinc8t6sd022s0h6tb7k3mfnc.com,ICANN,blacklistKeywords_fraud,cl,2025-08-29T12:13:08.016972
0sclh0cmcbufeb0ae5e5vhuo3mfb3o8d.com,ICANN,blacklistKeywords_fraud,cl,2025-08-29T12:13:08.053645
0t8aq3ou4sb0cvclcg60pcbr793smp9o.com,ICANN,blacklistKeywords_fraud,cl,2025-08-29T12:13:08.295448
0uif7mv74i5om36aetgcscdnt9kvbmrb.com,ICANN,blacklistKeywords_fraud,cdn,2025-08-29T12:13:08.656870
0ur4vr2nmjclv86eg6ljuc6jvh1vgcdk.com,ICANN,blacklistKeywords_fraud,cl,2025-08-29T12:13:08.720496
0vclrr0shmgfqqrkfe3c0ihd5m0lpugf.com,ICANN,blacklistKeywords_fraud,cl,2025-08-29T12:13:08.859857
0vre0b5f43i7kr1nuebkuclq70evobfs.com,ICANN,blacklistKeywords_fraud,cl,2025-08-29T12:13:08.976623
1-online-poker-room.com,ICANN,blacklistKeywords_fraud,online|online-,2025-08-29T12:13:09.606960
1000pipclimberea.com,ICANN,blacklistKeywords_fraud,cl,2025-08-29T12:13:10.140479
101accessiblevacations.com,ICANN,blacklistKeywords_phishing,access,2025-08-29T12:13:12.037657
102679-apple.com,ICANN,enterpriseBrands_fortune_100,apple,2025-08-29T12:13:12.531037
102clorinda.com,ICANN,blacklistKeywords_fraud,cl,2025-08-29T12:13:12.587455
107-2019bank.com,ICANN,blacklistKeywords_fraud,bank,2025-08-29T12:13:13.243273
111betlogin2.com,ICANN,blacklistKeywords_phishing,login,2025-08-29T12:13:15.641099
1123littlemagothyview.com,ICANN,blacklistKeywords_fraud,view,2025-08-29T12:13:15.896367
1135grandview.com,ICANN,blacklistKeywords_fraud,view,2025-08-29T12:13:16.140762
114laws.com,ICANN,enterpriseBrands_cloud_tech,aws,2025-08-29T12:13:16.397841
11alchemy.com,ICANN,blacklistKeywords_fraud,my,2025-08-29T12:13:17.359336
11cclogin.com,ICANN,blacklistKeywords_phishing|blacklistKeywords_fraud,login|cl,2025-08-29T12:13:17.448057
11sclg9nido663srk1glj7ho85djl7jv.com,ICANN,blacklistKeywords_fraud,cl,2025-08-29T12:13:17.897815
11secure.com,ICANN,blacklistKeywords_fraud,secure,2025-08-29T12:13:17.901340
1207stanfordway.com,ICANN,enterpriseBrands_fortune_100,ford,2025-08-29T12:13:18.240847
122betcomlogin1.com,ICANN,blacklistKeywords_phishing,login,2025-08-29T12:13:18.727370
122betlogin2.com,ICANN,blacklistKeywords_phishing,login,2025-08-29T12:13:18.728379
123securityfog.com,ICANN,blacklistKeywords_fraud,security,2025-08-29T12:13:19.711838
123securitysys.com,ICANN,blacklistKeywords_fraud,security,2025-08-29T12:13:19.712201
133betlogin1.com,ICANN,blacklistKeywords_phishing,login,2025-08-29T12:13:22.125297
135betlogin1.com,ICANN,blacklistKeywords_phishing,login,2025-08-29T12:13:22.337153
13myrtlecourt.com,ICANN,blacklistKeywords_fraud,my,2025-08-29T12:13:23.183612
1552moonviewct.com,ICANN,blacklistKeywords_fraud,view,2025-08-29T12:13:25.392619
155betlogin2.com,ICANN,blacklistKeywords_phishing,login,2025-08-29T12:13:25.517373
156flyingcloud.com,ICANN,blacklistKeywords_fraud,cl,2025-08-29T12:13:25.626992
15fcl2.com,ICANN,blacklistKeywords_fraud,cl,2025-08-29T12:13:26.074311
15v899scqvdvikftlqclbdp43p1jv2oq.com,ICANN,blacklistKeywords_fraud,cl,2025-08-29T12:13:26.404525
16029oxfordglenn.com,ICANN,enterpriseBrands_fortune_100,ford,2025-08-29T12:13:26.489489
161betlogin1.com,ICANN,blacklistKeywords_phishing,login,2025-08-29T12:13:26.673841
166betlogin3.com,ICANN,blacklistKeywords_phishing,login,2025-08-29T12:13:27.193706
169betlogin1.com,ICANN,blacklistKeywords_phishing,login,2025-08-29T12:13:27.729094
1700derrssquare.com,ICANN,enterpriseBrands_financial,square,2025-08-29T12:13:28.278086
17c-online.com,ICANN,blacklistKeywords_fraud,online,2025-08-29T12:13:29.580437
17c-siteweb.com,ICANN,blacklistKeywords_fraud,web,2025-08-29T12:13:29.580931
17cinema-web.com,ICANN,blacklistKeywords_fraud,web,2025-08-29T12:13:29.636495
17cweb.com,ICANN,blacklistKeywords_fraud,web,2025-08-29T12:13:29.651979
1810webdesign.com,ICANN,blacklistKeywords_fraud,web,2025-08-29T12:13:30.907114
1815clearbrookedr.com,ICANN,blacklistKeywords_fraud,cl,2025-08-29T12:13:30.944069
18ovdtrqcss46sti84tg4bclap9pcg3n.com,ICANN,blacklistKeywords_fraud,cl,2025-08-29T12:13:32.648206
193424bhvot2ve2pueaaf0leu9cltma2.com,ICANN,blacklistKeywords_fraud,cl,2025-08-29T12:13:33.381226
1952kcl.com,ICANN,blacklistKeywords_fraud,cl,2025-08-29T12:13:33.560501
1994group.com,ICANN,blacklistKeywords_fraud,group,2025-08-29T12:13:34.233789
19gateviewct.com,ICANN,blacklistKeywords_fraud,view,2025-08-29T12:13:34.552386
19m9osuphclpua7mmhc11ni7askqi20k.com,ICANN,blacklistKeywords_fraud,cl,2025-08-29T12:13:34.635043
1anssqv6ssm659sslcsfb7ltg6lo6b63.com,ICANN,blacklistKeywords_fraud,ssl,2025-08-29T12:13:35.259512
1b8mqgcclocf441ss314m9ats129k9fe.com,ICANN,blacklistKeywords_fraud,cl,2025-08-29T12:13:35.542711
1bjocl6p5umr3csrsuoghib9cnvsiu3v.com,ICANN,blacklistKeywords_fraud,cl,2025-08-29T12:13:35.739891
1clf0p6l6pv1b5ee98e43vpaio1ggpgt.com,ICANN,blacklistKeywords_fraud,cl,2025-08-29T12:13:36.247686
1click2gobankgroup.com,ICANN,blacklistKeywords_phishing|blacklistKeywords_fraud,click|bank|group|cl,2025-08-29T12:13:36.262834
1cuse5hjl96b0kdprcbddjjcli632u1k.com,ICANN,blacklistKeywords_fraud,cl,2025-08-29T12:13:36.544739
1d5lshua0mibm67457jb2incu35mep4k.com,ICANN,enterpriseBrands_cloud_tech,ibm,2025-08-29T12:13:36.629963
1e8j1ilhli4cv4uomo6etpapg0enclr1.com,ICANN,blacklistKeywords_fraud,cl,2025-08-29T12:13:37.215907
1earmmjtbpquhuakpk95ai3ncclvmtoe.com,ICANN,blacklistKeywords_fraud,cl,2025-08-29T12:13:37.238498
1f7lrigh0509sp7uj0lo3clienu0qj26.com,ICANN,blacklistKeywords_fraud,cl,2025-08-29T12:13:37.579458
1ggsqru1ek3qd3bd2ibm9v306q7fo77r.com,ICANN,enterpriseBrands_cloud_tech,ibm,2025-08-29T12:13:38.172911
1gugroup.com,ICANN,blacklistKeywords_fraud,group,2025-08-29T12:13:38.376582
1gvl74lecld7d6nand0r02dgdc7efv7t.com,ICANN,blacklistKeywords_fraud,cl,2025-08-29T12:13:38.398434
1gvtcl.com,ICANN,blacklistKeywords_fraud,cl,2025-08-29T12:13:38.400796
1h2voit3p2vca2focl6la36h4lsfj3m5.com,ICANN,blacklistKeywords_fraud,cl,2025-08-29T12:13:38.439114
1hejce0rmisiaiqphiu9clfl022ca1ki.com,ICANN,blacklistKeywords_fraud,cl,2025-08-29T12:13:38.613846
1krptsi6ttle0kdclg46b1b8h04tm98i.com,ICANN,blacklistKeywords_fraud,cl,2025-08-29T12:13:39.990118
1lta9i8kipg2oqp0qvjclt77l5hftc9m.com,ICANN,blacklistKeywords_fraud,cl,2025-08-29T12:13:40.472321
1mquqadd0bao32mcl2f3c7c1a5gmgjs7.com,ICANN,blacklistKeywords_fraud,cl,2025-08-29T12:13:41.090393
1oclk0et8peb0i6mec7gt4pda349fbr7.com,ICANN,blacklistKeywords_fraud,cl,2025-08-29T12:13:41.749968
1pi09km66erp222brlk3mnit0uhksrcl.com,ICANN,blacklistKeywords_fraud,cl,2025-08-29T12:13:42.380292
1qtj04b2nuqclvh0hnqom49sjqt4jg2l.com,ICANN,blacklistKeywords_fraud,cl,2025-08-29T12:13:42.966791
