domain,url,risk_score,category,type,brand,keywords,vt_malicious,vt_suspicious,urlscan_malicious,ip_address,country,timestamp
"esdesigninterior.se","https://esdesigninterior.se",3,"blacklist_match","blacklist_match","","signin",0,0,"false","","","2025-06-29T07:54:17.915Z"
"sentinelone.se","https://sentinelone.se",5,"medium_risk","enterprise_target","sentinelone","",0,0,"false","","","2025-06-29T07:54:34.392Z"
"vykupbankoviek.sk","https://vykupbankoviek.sk",3,"blacklist_match","blacklist_match","","bank",0,0,"false","","","2025-06-29T07:54:50.946Z"
"accountbuddy.se","https://accountbuddy.se",3,"blacklist_match","blacklist_match","","account",0,0,"false","","","2025-06-29T07:55:07.707Z"
"unicreditbank.se","https://unicreditbank.se",3,"blacklist_match","blacklist_match","","bank",0,0,"false","","","2025-06-29T07:55:24.515Z"
"krabbanknut.se","https://krabbanknut.se",3,"blacklist_match","blacklist_match","","bank",0,0,"false","","","2025-06-29T07:55:41.269Z"
"devisafe.se","https://devisafe.se",5,"medium_risk","enterprise_target","visa","",0,0,"false","","","2025-06-29T07:55:57.727Z"
"inteligentne-systemy.sk","https://inteligentne-systemy.sk",5,"medium_risk","enterprise_target","intel","",0,0,"false","","","2025-06-29T07:56:14.238Z"
"amsecure.sk","https://amsecure.sk",3,"blacklist_match","blacklist_match","","secure",0,0,"false","","","2025-06-29T07:56:30.785Z"
"crypto2cash.se","https://crypto2cash.se",3,"blacklist_match","blacklist_match","","crypto",0,0,"false","","","2025-06-29T07:56:47.203Z"
"aaintelligence.se","https://aaintelligence.se",5,"medium_risk","enterprise_target","intel","",0,0,"false","","","2025-06-29T07:57:03.647Z"
"atlasbank.se","https://atlasbank.se",3,"blacklist_match","blacklist_match","","bank",0,0,"false","","","2025-06-29T07:57:20.125Z"
"jetbank.sk","https://jetbank.sk",3,"blacklist_match","blacklist_match","","bank",0,0,"false","","","2025-06-29T07:57:36.699Z"
"whitepurepaws.se","https://whitepurepaws.se",5,"medium_risk","enterprise_target","aws","",0,0,"false","","","2025-06-29T07:57:53.425Z"
"upplevamazonas.se","https://upplevamazonas.se",5,"medium_risk","enterprise_target","amazon","",0,0,"false","","","2025-06-29T07:58:09.944Z"
"celion-accounting.se","https://celion-accounting.se",3,"blacklist_match","blacklist_match","","account",0,0,"false","","","2025-06-29T07:58:26.354Z"
"lngaccounting.se","https://lngaccounting.se",3,"blacklist_match","blacklist_match","","account",0,0,"false","","","2025-06-29T07:58:42.849Z"
"applemax.sk","https://applemax.sk",5,"medium_risk","enterprise_target","apple","",0,0,"false","","","2025-06-29T07:58:59.586Z"
"cryptomark.se","https://cryptomark.se",3,"blacklist_match","blacklist_match","","crypto",0,0,"false","","","2025-06-29T07:59:15.977Z"
"bankofeurope.se","https://bankofeurope.se",3,"blacklist_match","blacklist_match","","bank",0,0,"false","","","2025-06-29T07:59:32.481Z"
"casinomedapplepayutansvensklicens.se","https://casinomedapplepayutansvensklicens.se",5,"medium_risk","enterprise_target","apple","",0,0,"false","","","2025-06-29T07:59:49.924Z"
"ns2.casinomedvisakort.se","https://ns2.casinomedvisakort.se",5,"medium_risk","enterprise_target","visa","",0,0,"false","","","2025-06-29T08:00:06.392Z"
"sentinelone.se","https://sentinelone.se",5,"medium_risk","enterprise_target","sentinelone","",0,0,"false","","","2025-06-29T08:00:22.771Z"
"ns2.applepaycasino.se","https://ns2.applepaycasino.se",5,"medium_risk","enterprise_target","apple","",0,0,"false","","","2025-06-29T08:00:39.205Z"
"metamental.se","https://metamental.se",5,"medium_risk","enterprise_target","meta","",0,0,"false","","","2025-06-29T08:00:55.603Z"
"autonomobank.se","https://autonomobank.se",3,"blacklist_match","blacklist_match","","bank",0,0,"false","","","2025-06-29T08:01:12.214Z"
"gorillabank.se","https://gorillabank.se",3,"blacklist_match","blacklist_match","","bank",0,0,"false","","","2025-06-29T08:01:28.840Z"
"bitcoin-bv.nu","https://bitcoin-bv.nu",3,"blacklist_match","blacklist_match","","bitcoin",0,0,"false","","","2025-06-29T08:01:45.645Z"
"visarcctv.ee","https://visarcctv.ee",5,"medium_risk","enterprise_target","visa","",0,0,"false","","","2025-06-29T08:02:02.033Z"
"octave-intelligence.com.ee","https://octave-intelligence.com.ee",5,"medium_risk","enterprise_target","intel","",0,0,"false","","","2025-06-29T08:02:18.980Z"
"jetbank.sk","https://jetbank.sk",3,"blacklist_match","blacklist_match","","bank",0,0,"false","","","2025-06-29T08:02:35.383Z"
"omsorgsbanken.nu","https://omsorgsbanken.nu",3,"blacklist_match","blacklist_match","","bank",0,0,"false","","","2025-06-29T08:02:52.097Z"
"seb-bank.se","https://seb-bank.se",3,"blacklist_match","blacklist_match","","bank",0,0,"false","","","2025-06-29T08:03:08.553Z"
