domain,url,risk_score,category,brand,keywords,vt_malicious,vt_suspicious,urlscan_malicious,ip_address,country,timestamp
"kycgcashaccount.online","https://kycgcashaccount.online",25,"confirmed_threat","","account",11,0,"false","","","2025-06-26T10:33:20.620Z"
"kyc-secure-alpha-gr.top","https://kyc-secure-alpha-gr.top",24,"confirmed_threat","","secure",10,1,"false","","","2025-06-26T10:33:55.052Z"
"kycgcashupdate.online","https://kycgcashupdate.online",12,"confirmed_threat","","update",4,1,"false","","","2025-06-26T10:33:37.354Z"
"kyber-secure.xyz","https://kyber-secure.xyz",8,"confirmed_threat","","secure",1,3,"false","","","2025-06-26T10:31:40.683Z"
"0bitcoin.xyz","https://0bitcoin.xyz",7,"medium_risk","","bitcoin",0,4,"false","","","2025-06-26T10:14:10.271Z"
"0coinbasewallet.xyz","https://0coinbasewallet.xyz",7,"medium_risk","","wallet",0,4,"false","","","2025-06-26T10:14:26.716Z"
"0cryptocurrency.xyz","https://0cryptocurrency.xyz",7,"medium_risk","","crypto",0,4,"false","","","2025-06-26T10:14:43.285Z"
"kycverificationupdate.com","https://kycverificationupdate.com",7,"confirmed_threat","","update",1,2,"false","","","2025-06-26T10:34:12.712Z"
"02crypto.xyz","https://02crypto.xyz",5,"medium_risk","","crypto",0,2,"false","","","2025-06-26T10:12:12.770Z"
"02crypto.xyz","https://02crypto.xyz",5,"medium_risk","","crypto",0,2,"false","","","2025-06-26T10:24:04.855Z"
"kybersecure.xyz","https://kybersecure.xyz",5,"medium_risk","","secure",0,2,"false","","","2025-06-26T10:31:57.178Z"
"l2otsecure.xyz","https://l2otsecure.xyz",5,"medium_risk","","secure",0,2,"false","","","2025-06-26T10:41:45.695Z"
"kwmedicalbilling.online","https://kwmedicalbilling.online",4,"blacklist_match","","billing",0,1,"false","","","2025-06-26T10:30:33.363Z"
"kycaccountsecurity.com","https://kycaccountsecurity.com",4,"blacklist_match","","account",0,1,"false","","","2025-06-26T10:32:14.142Z"
"kyf-authi.org","https://kyf-authi.org",4,"blacklist_match","","auth",0,1,"false","","","2025-06-26T10:34:29.173Z"
"l2otsecure.info","https://l2otsecure.info",4,"blacklist_match","","secure",0,1,"false","","","2025-06-26T10:40:54.253Z"
"l2otsecure.store","https://l2otsecure.store",4,"blacklist_match","","secure",0,1,"false","","","2025-06-26T10:41:28.920Z"
"esdesigninterior.se","https://esdesigninterior.se",3,"blacklist_match","","signin",0,0,"false","","","2025-06-26T09:43:52.334Z"
"krabbanknut.se","https://krabbanknut.se",3,"blacklist_match","","bank",0,0,"false","","","2025-06-26T09:44:09.059Z"
"vykupbankoviek.sk","https://vykupbankoviek.sk",3,"blacklist_match","","bank",0,0,"false","","","2025-06-26T09:44:25.600Z"
