domain,url,risk_score,category,brand,keywords,vt_malicious,vt_suspicious,urlscan_malicious,ip_address,country,timestamp
"0554apple.com","https://0554apple.com",21,"confirmed_threat","apple","",8,0,"false","","","2025-06-26T10:27:10.442Z"
"002-stripe.com","https://002-stripe.com",13,"confirmed_threat","stripe","",4,0,"false","","","2025-06-26T10:17:52.484Z"
"001-stripe.com","https://001-stripe.com",9,"confirmed_threat","stripe","",2,0,"false","","","2025-06-26T10:17:19.067Z"
"octave-intelligence.ee","https://octave-intelligence.ee",7,"confirmed_threat","intel","",1,0,"false","","","2025-06-26T10:03:46.724Z"
"kz-visa-centre.com","https://kz-visa-centre.com",7,"confirmed_threat","visa","",1,0,"false","","","2025-06-26T10:40:20.794Z"
"casinomedpaypal.se","https://casinomedpaypal.se",6,"medium_risk","paypal","",0,1,"false","","","2025-06-26T10:04:20.459Z"
"022apple.com","https://022apple.com",6,"medium_risk","apple","",0,1,"false","","","2025-06-26T10:11:55.953Z"
"022apple.com","https://022apple.com",6,"medium_risk","apple","",0,1,"false","","","2025-06-26T10:23:48.132Z"
"chasen.sk","https://chasen.sk",5,"medium_risk","chase","",0,0,"false","","","2025-06-26T09:43:35.821Z"
"jpmorganpersonalinvesting.se","https://jpmorganpersonalinvesting.se",5,"medium_risk","jpmorgan","",0,0,"false","","","2025-06-26T09:44:45.881Z"
"f49-redovisa.se","https://f49-redovisa.se",5,"medium_risk","visa","",0,0,"false","","","2025-06-26T09:45:20.628Z"
"intelliors.ee","https://intelliors.ee",5,"medium_risk","intel","",0,0,"false","","","2025-06-26T09:45:37.113Z"
"metallinredning.se","https://metallinredning.se",5,"medium_risk","meta","",0,0,"false","","","2025-06-26T09:46:14.486Z"
"metallprodukt.sk","https://metallprodukt.sk",5,"medium_risk","meta","",0,0,"false","","","2025-06-26T09:46:30.962Z"
"visadesigns.se","https://visadesigns.se",5,"medium_risk","visa","",0,0,"false","","","2025-06-26T09:47:22.018Z"
"pawsinmotion.se","https://pawsinmotion.se",5,"medium_risk","aws","",0,0,"false","","","2025-06-26T09:48:28.647Z"
"applemax.sk","https://applemax.sk",5,"medium_risk","apple","",0,0,"false","","","2025-06-26T09:48:45.074Z"
"meta-coach.sk","https://meta-coach.sk",5,"medium_risk","meta","",0,0,"false","","","2025-06-26T09:49:25.921Z"
"teslapoprad.sk","https://teslapoprad.sk",5,"medium_risk","tesla","",0,0,"false","","","2025-06-26T09:49:43.552Z"
"visadesigns.se","https://visadesigns.se",5,"medium_risk","visa","",0,0,"false","","","2025-06-26T09:50:16.703Z"
"profilmetal.se","https://profilmetal.se",5,"medium_risk","meta","",0,0,"false","","","2025-06-26T09:50:52.965Z"
"ns1.applepaycasino.se","https://ns1.applepaycasino.se",5,"medium_risk","apple","",0,0,"false","","","2025-06-26T09:51:25.839Z"
"profilmetall.se","https://profilmetall.se",5,"medium_risk","meta","",0,0,"false","","","2025-06-26T09:51:42.774Z"
"ns2.casinomedvisakort.se","https://ns2.casinomedvisakort.se",5,"medium_risk","visa","",0,0,"false","","","2025-06-26T09:51:59.227Z"
"nordi-paws.se","https://nordi-paws.se",5,"medium_risk","aws","",0,0,"false","","","2025-06-26T09:52:15.716Z"
"metallinredning.se","https://metallinredning.se",5,"medium_risk","meta","",0,0,"false","","","2025-06-26T09:54:12.485Z"
"ns1.casinoapplepay.se","https://ns1.casinoapplepay.se",5,"medium_risk","apple","",0,0,"false","","","2025-06-26T09:54:45.452Z"
"visarcctv.ee","https://visarcctv.ee",5,"medium_risk","visa","",0,0,"false","","","2025-06-26T09:55:18.377Z"
"visaljerdittab.se","https://visaljerdittab.se",5,"medium_risk","visa","",0,0,"false","","","2025-06-26T09:55:51.650Z"
"festoolsawstopbordssagtks80.se","https://festoolsawstopbordssagtks80.se",5,"medium_risk","aws","",0,0,"false","","","2025-06-26T09:56:09.078Z"
"ns2.applepaycasino.se","https://ns2.applepaycasino.se",5,"medium_risk","apple","",0,0,"false","","","2025-06-26T09:56:43.791Z"
"duopaws.se","https://duopaws.se",5,"medium_risk","aws","",0,0,"false","","","2025-06-26T09:58:07.195Z"
"nordipaws.se","https://nordipaws.se",5,"medium_risk","aws","",0,0,"false","","","2025-06-26T09:58:25.838Z"
"jazurentals.sk","https://jazurentals.sk",5,"medium_risk","azure","",0,0,"false","","","2025-06-26T09:58:42.604Z"
"f49-redovisa.se","https://f49-redovisa.se",5,"medium_risk","visa","",0,0,"false","","","2025-06-26T09:59:32.692Z"
"teslarobotaxi.nu","https://teslarobotaxi.nu",5,"medium_risk","tesla","",0,0,"false","","","2025-06-26T09:59:49.780Z"
"cosmeta.se","https://cosmeta.se",5,"medium_risk","meta","",0,0,"false","","","2025-06-26T10:00:23.247Z"
"oktal.se","https://oktal.se",5,"medium_risk","okta","",0,0,"false","","","2025-06-26T10:00:40.600Z"
"ns2.casinomedpaypal.se","https://ns2.casinomedpaypal.se",5,"medium_risk","paypal","",0,0,"false","","","2025-06-26T10:01:14.638Z"
"intelliors.ee","https://intelliors.ee",5,"medium_risk","intel","",0,0,"false","","","2025-06-26T10:01:48.849Z"
"ns1.casinomedvisakort.se","https://ns1.casinomedvisakort.se",5,"medium_risk","visa","",0,0,"false","","","2025-06-26T10:02:06.461Z"
"paypalworld.ee","https://paypalworld.ee",5,"medium_risk","paypal","",0,0,"false","","","2025-06-26T10:02:40.005Z"
"metallprodukt.sk","https://metallprodukt.sk",5,"medium_risk","meta","",0,0,"false","","","2025-06-26T10:03:13.720Z"
"octave-intelligence.se","https://octave-intelligence.se",5,"medium_risk","intel","",0,0,"false","","","2025-06-26T10:03:30.286Z"
"chasen.sk","https://chasen.sk",5,"medium_risk","chase","",0,0,"false","","","2025-06-26T10:04:03.305Z"
"ns2.casinomedapplepay.se","https://ns2.casinomedapplepay.se",5,"medium_risk","apple","",0,0,"false","","","2025-06-26T10:04:37.686Z"
"traotsigooglest.ee","https://traotsigooglest.ee",5,"medium_risk","google","",0,0,"false","","","2025-06-26T10:05:45.308Z"
"metavox.se","https://metavox.se",5,"medium_risk","meta","",0,0,"false","","","2025-06-26T10:06:03.301Z"
"verksamhetsintelligens.se","https://verksamhetsintelligens.se",5,"medium_risk","intel","",0,0,"false","","","2025-06-26T10:06:20.694Z"
"casinomedvisakort.se","https://casinomedvisakort.se",5,"medium_risk","visa","",0,0,"false","","","2025-06-26T10:06:37.334Z"
"0001-stripe.com","https://0001-stripe.com",5,"medium_risk","stripe","",0,0,"false","","","2025-06-26T10:06:54.361Z"
"011-stripe.com","https://011-stripe.com",5,"medium_risk","stripe","",0,0,"false","","","2025-06-26T10:09:24.961Z"
"012-stripe.com","https://012-stripe.com",5,"medium_risk","stripe","",0,0,"false","","","2025-06-26T10:09:41.489Z"
"013-stripe.com","https://013-stripe.com",5,"medium_risk","stripe","",0,0,"false","","","2025-06-26T10:09:57.927Z"
"014-stripe.com","https://014-stripe.com",5,"medium_risk","stripe","",0,0,"false","","","2025-06-26T10:10:31.403Z"
"015-stripe.com","https://015-stripe.com",5,"medium_risk","stripe","",0,0,"false","","","2025-06-26T10:10:48.174Z"
"01athleteintelligence.com","https://01athleteintelligence.com",5,"medium_risk","intel","",0,0,"false","","","2025-06-26T10:11:22.509Z"
"0001-stripe.com","https://0001-stripe.com",5,"medium_risk","stripe","",0,0,"false","","","2025-06-26T10:14:59.708Z"
"003-stripe.com","https://003-stripe.com",5,"medium_risk","stripe","",0,0,"false","","","2025-06-26T10:18:10.984Z"
