domain,url,risk_score,category,brand,keywords,vt_malicious,vt_suspicious,urlscan_malicious,ip_address,country,timestamp
"xn--metalrande-u5a.se","https://xn--metalrande-u5a.se",5,"medium_risk","meta","",0,0,"false","","","2025-07-03T13:01:39.374Z"
"bullypaws.se","https://bullypaws.se",5,"medium_risk","aws","",0,0,"false","","","2025-07-03T13:03:17.564Z"
"sentinelone.se","https://sentinelone.se",5,"medium_risk","sentinelone","",0,0,"false","","","2025-07-03T13:03:50.477Z"
"upplevamazonas.se","https://upplevamazonas.se",5,"medium_risk","amazon","",0,0,"false","","","2025-07-03T13:04:06.923Z"
"teslaproducts.se","https://teslaproducts.se",5,"medium_risk","tesla","",0,0,"false","","","2025-07-03T13:04:23.364Z"
"dinredovisare.se","https://dinredovisare.se",5,"medium_risk","visa","",0,0,"false","","","2025-07-03T13:04:40.191Z"
"applesin.se","https://applesin.se",5,"medium_risk","apple","",0,0,"false","","","2025-07-03T13:05:13.427Z"
"artificiellgenerellintelligens.se","https://artificiellgenerellintelligens.se",5,"medium_risk","intel","",0,0,"false","","","2025-07-03T13:05:47.118Z"
"whitepurepaws.se","https://whitepurepaws.se",5,"medium_risk","aws","",0,0,"false","","","2025-07-03T13:06:03.579Z"
"aaintelligence.se","https://aaintelligence.se",5,"medium_risk","intel","",0,0,"false","","","2025-07-03T13:06:36.519Z"
"altioraintelligence.se","https://altioraintelligence.se",5,"medium_risk","intel","",0,0,"false","","","2025-07-03T13:06:53.429Z"
"devisafe.se","https://devisafe.se",5,"medium_risk","visa","",0,0,"false","","","2025-07-03T13:07:09.912Z"
"metamorfa.se","https://metamorfa.se",5,"medium_risk","meta","",0,0,"false","","","2025-07-03T13:07:26.226Z"
"inteligentne-systemy.sk","https://inteligentne-systemy.sk",5,"medium_risk","intel","",0,0,"false","","","2025-07-03T13:07:42.856Z"
"devisafe.se","https://devisafe.se",5,"medium_risk","visa","",0,0,"false","","","2025-07-03T13:07:59.308Z"
"xn--metalrande-u5a.se","https://xn--metalrande-u5a.se",5,"medium_risk","meta","",0,0,"false","","","2025-07-03T13:08:32.218Z"
"ns2.casinomedapplepayutansvensklicens.se","https://ns2.casinomedapplepayutansvensklicens.se",5,"medium_risk","apple","",0,0,"false","","","2025-07-03T13:09:05.322Z"
"jpmorganpersonalinvesting.se","https://jpmorganpersonalinvesting.se",5,"medium_risk","jpmorgan","",0,0,"false","","","2025-07-03T13:09:22.285Z"
"metallprodukt.sk","https://metallprodukt.sk",5,"medium_risk","meta","",0,0,"false","","","2025-07-03T13:09:38.888Z"
"meta-coach.sk","https://meta-coach.sk",5,"medium_risk","meta","",0,0,"false","","","2025-07-03T13:10:46.175Z"
"visaljerdittab.se","https://visaljerdittab.se",5,"medium_risk","visa","",0,0,"false","","","2025-07-03T13:11:02.597Z"
"teslapoprad.sk","https://teslapoprad.sk",5,"medium_risk","tesla","",0,0,"false","","","2025-07-03T13:11:26.251Z"
"octaveintelligence.ee","https://octaveintelligence.ee",5,"medium_risk","intel","",0,0,"false","","","2025-07-03T13:11:44.720Z"
"octave-intelligence.ee","https://octave-intelligence.ee",5,"medium_risk","intel","",0,0,"false","","","2025-07-03T13:12:04.954Z"
"whitepurepaws.se","https://whitepurepaws.se",5,"medium_risk","aws","",0,0,"false","","","2025-07-03T13:12:38.202Z"
"ns2.casinoapplepay.se","https://ns2.casinoapplepay.se",5,"medium_risk","apple","",0,0,"false","","","2025-07-03T13:13:27.699Z"
"ns2.casinomedpaypal.se","https://ns2.casinomedpaypal.se",5,"medium_risk","paypal","",0,0,"false","","","2025-07-03T13:15:09.627Z"
