domain,url,risk_score,category,type,brand,keywords,vt_malicious,vt_suspicious,urlscan_malicious,ip_address,country,timestamp
"mauth.se","https://mauth.se",3,"blacklist_match","blacklist_match","","auth",0,0,"false","","","2025-07-10T13:00:58.626Z"
"wineoracle.se","https://wineoracle.se",5,"medium_risk","enterprise_target","oracle","",0,0,"false","","","2025-07-10T13:01:14.886Z"
"showpaws.se","https://showpaws.se",5,"medium_risk","enterprise_target","aws","",0,0,"false","","","2025-07-10T13:01:31.164Z"
"account-it.ee","https://account-it.ee",3,"blacklist_match","blacklist_match","","account",0,0,"false","","","2025-07-10T13:01:47.800Z"
"superintelligenceai.se","https://superintelligenceai.se",5,"medium_risk","enterprise_target","intel","",0,0,"false","","","2025-07-10T13:02:04.446Z"
"aisuperintelligence.se","https://aisuperintelligence.se",5,"medium_risk","enterprise_target","intel","",0,0,"false","","","2025-07-10T13:02:20.745Z"
"downypaws.sk","https://downypaws.sk",5,"medium_risk","enterprise_target","aws","",0,0,"false","","","2025-07-10T13:02:37.332Z"
"amazonkatextil.sk","https://amazonkatextil.sk",5,"medium_risk","enterprise_target","amazon","",0,0,"false","","","2025-07-10T13:02:53.689Z"
"lovisaulrika.se","https://lovisaulrika.se",5,"medium_risk","enterprise_target","visa","",0,0,"false","","","2025-07-10T13:03:10.337Z"
"wineoracles.se","https://wineoracles.se",5,"medium_risk","enterprise_target","oracle","",0,0,"false","","","2025-07-10T13:03:26.604Z"
"metabolicreset.se","https://metabolicreset.se",5,"medium_risk","enterprise_target","meta","",0,0,"false","","","2025-07-10T13:03:42.912Z"
"bankov427.sk","https://bankov427.sk",3,"blacklist_match","blacklist_match","","bank",0,0,"false","","","2025-07-10T13:03:59.197Z"
"junebank.se","https://junebank.se",3,"blacklist_match","blacklist_match","","bank",0,0,"false","","","2025-07-10T13:04:15.455Z"
"ehandelsbanken.se","https://ehandelsbanken.se",3,"blacklist_match","blacklist_match","","bank",0,0,"false","","","2025-07-10T13:04:31.705Z"
"whitepaws.ee","https://whitepaws.ee",5,"medium_risk","enterprise_target","aws","",0,0,"false","","","2025-07-10T13:04:47.968Z"
"bankerydspizzeria.se","https://bankerydspizzeria.se",3,"blacklist_match","blacklist_match","","bank",0,0,"false","","","2025-07-10T13:05:04.256Z"
"tenantintelligence.se","https://tenantintelligence.se",5,"medium_risk","enterprise_target","intel","",0,0,"false","","","2025-07-10T13:05:20.555Z"
"metaverseai.se","https://metaverseai.se",5,"medium_risk","enterprise_target","meta","",0,0,"false","","","2025-07-10T13:05:36.813Z"
"jpmorganpersonalinvesting.sk","https://jpmorganpersonalinvesting.sk",5,"medium_risk","enterprise_target","jpmorgan","",0,0,"false","","","2025-07-10T13:05:54.090Z"
"metallfakta.se","https://metallfakta.se",5,"medium_risk","enterprise_target","meta","",0,0,"false","","","2025-07-10T13:06:10.378Z"
"y2meta.nu","https://y2meta.nu",5,"medium_risk","enterprise_target","meta","",0,0,"false","","","2025-07-10T13:06:26.655Z"
"metabohack.sk","https://metabohack.sk",5,"medium_risk","enterprise_target","meta","",0,0,"false","","","2025-07-10T13:06:42.910Z"
"draccounting.sk","https://draccounting.sk",3,"blacklist_match","blacklist_match","","account",0,0,"false","","","2025-07-10T13:06:59.188Z"
"paws-stockholm.se","https://paws-stockholm.se",5,"medium_risk","enterprise_target","aws","",0,0,"false","","","2025-07-10T13:07:15.468Z"
"z-account.sk","https://z-account.sk",3,"blacklist_match","blacklist_match","","account",0,0,"false","","","2025-07-10T13:07:32.134Z"
"ahredovisa.se","https://ahredovisa.se",5,"medium_risk","enterprise_target","visa","",0,0,"false","","","2025-07-10T13:07:48.762Z"
"incometaxinswedenguide.se","https://incometaxinswedenguide.se",5,"medium_risk","enterprise_target","meta","",0,0,"false","","","2025-07-10T13:08:05.378Z"
"incometaxguide.se","https://incometaxguide.se",5,"medium_risk","enterprise_target","meta","",0,0,"false","","","2025-07-10T13:08:21.633Z"
"artificialsuperintelligence.se","https://artificialsuperintelligence.se",5,"medium_risk","enterprise_target","intel","",0,0,"false","","","2025-07-10T13:08:37.890Z"
"u-wallet.sk","https://u-wallet.sk",3,"blacklist_match","blacklist_match","","wallet",0,0,"false","","","2025-07-10T13:08:54.444Z"
