domain,url,risk_score,category,brand,keywords,vt_malicious,vt_suspicious,urlscan_malicious,ip_address,country,timestamp
"mauth.se","https://mauth.se",3,"blacklist_match","","auth",0,0,"false","","","2025-07-10T13:00:58.626Z"
"account-it.ee","https://account-it.ee",3,"blacklist_match","","account",0,0,"false","","","2025-07-10T13:01:47.800Z"
"bankov427.sk","https://bankov427.sk",3,"blacklist_match","","bank",0,0,"false","","","2025-07-10T13:03:59.197Z"
"junebank.se","https://junebank.se",3,"blacklist_match","","bank",0,0,"false","","","2025-07-10T13:04:15.455Z"
"ehandelsbanken.se","https://ehandelsbanken.se",3,"blacklist_match","","bank",0,0,"false","","","2025-07-10T13:04:31.705Z"
"bankerydspizzeria.se","https://bankerydspizzeria.se",3,"blacklist_match","","bank",0,0,"false","","","2025-07-10T13:05:04.256Z"
"draccounting.sk","https://draccounting.sk",3,"blacklist_match","","account",0,0,"false","","","2025-07-10T13:06:59.188Z"
"z-account.sk","https://z-account.sk",3,"blacklist_match","","account",0,0,"false","","","2025-07-10T13:07:32.134Z"
"u-wallet.sk","https://u-wallet.sk",3,"blacklist_match","","wallet",0,0,"false","","","2025-07-10T13:08:54.444Z"
"salusbank.se","https://salusbank.se",3,"blacklist_match","","bank",0,0,"false","","","2025-07-10T13:10:48.680Z"
"esdesigninterior.se","https://esdesigninterior.se",3,"blacklist_match","","signin",0,0,"false","","","2025-07-10T13:11:04.939Z"
"jetbank.sk","https://jetbank.sk",3,"blacklist_match","","bank",0,0,"false","","","2025-07-10T13:11:37.514Z"
"authenticdialogue.se","https://authenticdialogue.se",3,"blacklist_match","","auth",0,0,"false","","","2025-07-10T13:11:53.788Z"
"accountbuddy.se","https://accountbuddy.se",3,"blacklist_match","","account",0,0,"false","","","2025-07-10T13:12:42.544Z"
"doctorsauthenticate.se","https://doctorsauthenticate.se",3,"blacklist_match","","auth",0,0,"false","","","2025-07-10T13:12:58.805Z"
"cryptoipant.se","https://cryptoipant.se",3,"blacklist_match","","crypto",0,0,"false","","","2025-07-10T13:13:15.045Z"
"bankuppropet.se","https://bankuppropet.se",3,"blacklist_match","","bank",0,0,"false","","","2025-07-10T13:13:47.605Z"
"draccounting.sk","https://draccounting.sk",3,"blacklist_match","","account",0,0,"false","","","2025-07-10T13:14:36.467Z"
