domain,url,risk_score,category,type,brand,keywords,vt_malicious,vt_suspicious,urlscan_overall_malicious,urlscan_engines_malicious,urlscan_community_malicious,urlscan_stats_malicious,whois_status,whois_registrar,whois_registration_date,whois_expiration_date,alienvault_verdict,alienvault_malicious,urlvoid_threat_level,urlvoid_detection_ratio,urlvoid_is_threat,vt_available,urlscan_available,whois_available,alienvault_available,urlvoid_available,timestamp
"metalmaster.se","https://metalmaster.se",5,"medium_risk","enterprise_target","meta","",0,0,"false","false","false",0,"inactive","","","","","false","",0,"false","false","false","false","false","false","2025-07-22T10:03:46.676Z"
"drive-google.sk","https://drive-google.sk",5,"medium_risk","enterprise_target","google","",0,0,"false","false","false",0,"inactive","","","","","false","",0,"false","false","false","false","false","false","2025-07-22T10:03:47.518Z"
"cryptocartel.sk","https://cryptocartel.sk",3,"blacklist_match","blacklist_match","","crypto",0,0,"false","false","false",0,"inactive","","","","","false","",0,"false","false","false","false","false","false","2025-07-22T10:03:48.305Z"
"bankeryds-pizzeria.se","https://bankeryds-pizzeria.se",3,"blacklist_match","blacklist_match","","bank",0,0,"false","false","false",0,"inactive","","","","","false","",0,"false","false","false","false","false","false","2025-07-22T10:03:49.090Z"
"cryptokultur.se","https://cryptokultur.se",3,"blacklist_match","blacklist_match","","crypto",0,0,"false","false","false",0,"inactive","","","","","false","",0,"false","false","false","false","false","false","2025-07-22T10:03:49.870Z"
"pawswholesale.se","https://pawswholesale.se",5,"medium_risk","enterprise_target","aws","",0,0,"false","false","false",0,"inactive","","","","","false","",0,"false","false","false","false","false","false","2025-07-22T10:03:50.656Z"
"banketa.sk","https://banketa.sk",3,"blacklist_match","blacklist_match","","bank",0,0,"false","false","false",0,"inactive","","","","","false","",0,"false","false","false","false","false","false","2025-07-22T10:03:51.438Z"
"miraaccounting.se","https://miraaccounting.se",3,"blacklist_match","blacklist_match","","account",0,0,"false","false","false",0,"inactive","","","","","false","",0,"false","false","false","false","false","false","2025-07-22T10:03:52.223Z"
"naradiezhurbanky.sk","https://naradiezhurbanky.sk",3,"blacklist_match","blacklist_match","","bank",0,0,"false","false","false",0,"inactive","","","","","false","",0,"false","false","false","false","false","false","2025-07-22T10:03:53.002Z"
"interintel.ee","https://interintel.ee",5,"medium_risk","enterprise_target","intel","",0,0,"false","false","false",0,"inactive","","","","","false","",0,"false","false","false","false","false","false","2025-07-22T10:03:53.784Z"
"verktygsbanken.nu","https://verktygsbanken.nu",3,"blacklist_match","blacklist_match","","bank",0,0,"false","false","false",0,"inactive","","","","","false","",0,"false","false","false","false","false","false","2025-07-22T10:03:54.574Z"
