domain,url,risk_score,category,brand,keywords,vt_malicious,vt_suspicious,urlscan_overall_malicious,urlscan_engines_malicious,urlscan_community_malicious,urlscan_stats_malicious,whois_status,whois_registrar,whois_registration_date,whois_expiration_date,alienvault_verdict,alienvault_malicious,urlvoid_threat_level,urlvoid_detection_ratio,urlvoid_is_threat,vt_available,urlscan_available,whois_available,alienvault_available,urlvoid_available,timestamp
"21lawsofstorytelling.com","https://21lawsofstorytelling.com",19.3,"confirmed_threat","aws","",2,0,"false","false","false",0,"unknown","","","","","false","HIGH",2.564102564102564,"true","true","false","false","false","true","2025-07-23T10:00:49.092Z"
"1004apple.com","https://1004apple.com",18.5,"confirmed_threat","apple","",1,1,"false","false","false",0,"unknown","","","","","false","HIGH",5.128205128205128,"true","true","true","false","false","true","2025-07-23T08:59:35.310Z"
"1microsoft.com","https://1microsoft.com",16,"confirmed_threat","microsoft","",5,1,"false","false","false",0,"unknown","","","","","false","SAFE",0,"false","true","false","false","false","true","2025-07-23T09:42:33.429Z"
"1-win-bk-apple.click","https://1-win-bk-apple.click",15.3,"confirmed_threat","apple","",0,0,"false","false","false",0,"inactive","","","","","false","HIGH",2.564102564102564,"true","true","false","false","false","true","2025-07-23T09:47:39.690Z"
"1amazonas777.com","https://1amazonas777.com",14,"confirmed_threat","amazon","",3,3,"false","false","false",0,"unknown","","","","","false","SAFE",0,"false","true","false","false","false","true","2025-07-23T09:36:06.377Z"
"1awsfd65.top","https://1awsfd65.top",14,"confirmed_threat","aws","",3,3,"false","false","false",0,"inactive","","","","","false","SAFE",0,"false","true","false","false","false","true","2025-07-23T09:36:07.966Z"
"1azurewebsites.net","https://1azurewebsites.net",14,"confirmed_threat","azure","",3,3,"false","false","false",0,"inactive","","","","","false","SAFE",0,"false","true","false","false","false","true","2025-07-23T09:36:08.758Z"
"15googleplay.com","https://15googleplay.com",12,"confirmed_threat","google","",3,1,"false","false","false",0,"unknown","","","","","false","SAFE",0,"false","true","false","false","false","true","2025-07-23T09:24:53.364Z"
"0000apple.com","https://0000apple.com",10,"confirmed_threat","apple","",2,1,"false","false","false",0,"unknown","","","","","false","SAFE",0,"false","true","true","false","false","true","2025-07-23T08:46:06.002Z"
"11apple.com","https://11apple.com",9,"confirmed_threat","apple","",2,0,"false","false","false",0,"unknown","","","","","false","SAFE",0,"false","true","true","false","false","true","2025-07-23T09:08:10.758Z"
"11dawsonave.com","https://11dawsonave.com",7,"confirmed_threat","aws","",1,0,"false","false","false",0,"unknown","","","","","false","SAFE",0,"false","true","true","false","false","true","2025-07-23T09:10:34.759Z"
"drive-google.sk","https://drive-google.sk",5,"medium_risk","google","",0,0,"false","false","false",0,"inactive","","","","","false","",0,"false","false","false","false","false","false","2025-07-23T08:44:50.664Z"
