domain,url,risk_score,category,brand,keywords,vt_malicious,vt_suspicious,urlscan_overall_malicious,urlscan_engines_malicious,urlscan_community_malicious,urlscan_stats_malicious,whois_status,whois_registrar,whois_registration_date,whois_expiration_date,alienvault_verdict,alienvault_malicious,urlvoid_threat_level,urlvoid_detection_ratio,urlvoid_is_threat,vt_available,urlscan_available,whois_available,alienvault_available,urlvoid_available,timestamp
"18593-crypto.com","https://18593-crypto.com",21,"confirmed_threat","","crypto",9,0,"false","false","false",0,"unknown","","","","","false","SAFE",0,"false","true","false","false","false","true","2025-07-25T12:46:33.716Z"
"18betlogin.net","https://18betlogin.net",21,"confirmed_threat","","login",9,0,"false","false","false",0,"inactive","","","","","false","SAFE",0,"false","true","false","false","false","true","2025-07-25T12:46:34.517Z"
"19216811-login.info","https://19216811-login.info",21,"confirmed_threat","","login",9,0,"false","false","false",0,"inactive","","","","","false","SAFE",0,"false","true","false","false","false","true","2025-07-25T12:46:36.113Z"
"0077betlogin.com","https://0077betlogin.com",18.3,"confirmed_threat","","login",2,1,"false","false","false",0,"unknown","","","","","false","HIGH",2.564102564102564,"true","true","true","false","false","true","2025-07-25T12:20:58.132Z"
"0088bet-login.com","https://0088bet-login.com",17.3,"confirmed_threat","","login",2,0,"false","false","false",0,"unknown","","","","","false","HIGH",2.564102564102564,"true","true","false","false","false","true","2025-07-25T12:21:29.591Z"
"10xgrowthaccount.com","https://10xgrowthaccount.com",17.3,"confirmed_threat","","account",2,0,"false","false","false",0,"unknown","","","","","false","HIGH",2.564102564102564,"true","true","true","false","false","true","2025-07-25T12:27:10.789Z"
"4-bitcoin.com","https://4-bitcoin.com",14.3,"confirmed_threat","","bitcoin",0,1,"false","false","false",0,"unknown","","","","","false","HIGH",2.564102564102564,"true","true","false","false","false","true","2025-07-25T13:45:10.033Z"
"1010betloginapp.com","https://1010betloginapp.com",13.3,"confirmed_threat","","login",0,0,"false","false","false",0,"unknown","","","","","false","HIGH",2.564102564102564,"true","true","false","false","false","true","2025-07-25T12:24:43.108Z"
"166bet4login.com","https://166bet4login.com",13.3,"confirmed_threat","","login",0,0,"false","false","false",0,"unknown","","","","","false","HIGH",2.564102564102564,"true","false","false","false","false","true","2025-07-25T12:41:46.933Z"
"2bbilling.com","https://2bbilling.com",13.3,"confirmed_threat","","billing",0,0,"false","false","false",0,"unknown","","","","","false","HIGH",2.564102564102564,"true","true","false","false","false","true","2025-07-25T13:21:39.998Z"
"2loginarea.info","https://2loginarea.info",13.3,"confirmed_threat","","login",0,0,"false","false","false",0,"inactive","","","","","false","HIGH",2.564102564102564,"true","true","false","false","false","true","2025-07-25T13:24:22.267Z"
"336betlogin.com","https://336betlogin.com",13.3,"confirmed_threat","","login",0,0,"false","false","false",0,"unknown","","","","","false","HIGH",2.564102564102564,"true","true","false","false","false","true","2025-07-25T13:30:12.125Z"
"336betlogin.net","https://336betlogin.net",13.3,"confirmed_threat","","login",0,0,"false","false","false",0,"inactive","","","","","false","HIGH",2.564102564102564,"true","true","false","false","false","true","2025-07-25T13:30:12.943Z"
"36500authreport.com","https://36500authreport.com",13.3,"confirmed_threat","","auth",0,0,"false","false","false",0,"unknown","","","","","false","HIGH",2.564102564102564,"true","false","false","false","false","true","2025-07-25T13:34:19.866Z"
"3650authreport.com","https://3650authreport.com",13.3,"confirmed_threat","","auth",0,0,"false","false","false",0,"unknown","","","","","false","HIGH",2.564102564102564,"true","false","false","false","false","true","2025-07-25T13:34:42.503Z"
"40betlogin.com","https://40betlogin.com",13.3,"confirmed_threat","","login",0,0,"false","false","false",0,"unknown","","","","","false","HIGH",2.564102564102564,"true","true","false","false","false","true","2025-07-25T13:45:34.538Z"
"429805-crypto.com","https://429805-crypto.com",13.3,"confirmed_threat","","crypto",0,0,"false","false","false",0,"unknown","","","","","false","HIGH",2.564102564102564,"true","true","false","false","false","true","2025-07-25T13:49:23.852Z"
"4455betlogin.com","https://4455betlogin.com",13.3,"confirmed_threat","","login",0,0,"false","false","false",0,"unknown","","","","","false","HIGH",2.564102564102564,"true","true","false","false","false","true","2025-07-25T13:50:47.009Z"
"5566betloginapp.com","https://5566betloginapp.com",13.3,"confirmed_threat","","login",0,0,"false","false","false",0,"unknown","","","","","false","HIGH",2.564102564102564,"true","false","false","false","false","true","2025-07-25T14:07:30.597Z"
"5659betlogin.com","https://5659betlogin.com",13.3,"confirmed_threat","","login",0,0,"false","false","false",0,"unknown","","","","","false","HIGH",2.564102564102564,"true","true","false","false","false","true","2025-07-25T14:12:16.488Z"
"567betlogin.net","https://567betlogin.net",13.3,"confirmed_threat","","login",0,0,"false","false","false",0,"inactive","","","","","false","HIGH",2.564102564102564,"true","true","false","false","false","true","2025-07-25T14:12:17.348Z"
"5787betlogin.com","https://5787betlogin.com",13.3,"confirmed_threat","","login",0,0,"false","false","false",0,"unknown","","","","","false","HIGH",2.564102564102564,"true","true","false","false","false","true","2025-07-25T14:13:43.610Z"
"57betlogin.net","https://57betlogin.net",13.3,"confirmed_threat","","login",0,0,"false","false","false",0,"inactive","","","","","false","HIGH",2.564102564102564,"true","true","false","false","false","true","2025-07-25T14:13:44.424Z"
"1authentication-td.xyz","https://1authentication-td.xyz",12,"confirmed_threat","","auth",3,3,"false","false","false",0,"inactive","","","","","false","SAFE",0,"false","true","false","false","false","true","2025-07-25T12:48:39.816Z"
