domain,url,risk_score,category,brand,keywords,vt_malicious,vt_suspicious,urlscan_overall_malicious,urlscan_engines_malicious,urlscan_community_malicious,urlscan_stats_malicious,whois_status,whois_registrar,whois_registration_date,whois_expiration_date,alienvault_verdict,alienvault_malicious,urlvoid_threat_level,urlvoid_detection_ratio,urlvoid_is_threat,vt_available,urlscan_available,whois_available,alienvault_available,urlvoid_available,timestamp
"18box.top","https://18box.top",23,"confirmed_threat","box","",9,0,"false","false","false",0,"inactive","","","","","false","SAFE",0,"false","true","false","false","false","true","2025-07-25T12:46:35.318Z"
"18593-crypto.com","https://18593-crypto.com",21,"confirmed_threat","","crypto",9,0,"false","false","false",0,"unknown","","","","","false","SAFE",0,"false","true","false","false","false","true","2025-07-25T12:46:33.716Z"
"18betlogin.net","https://18betlogin.net",21,"confirmed_threat","","login",9,0,"false","false","false",0,"inactive","","","","","false","SAFE",0,"false","true","false","false","false","true","2025-07-25T12:46:34.517Z"
"19216811-login.info","https://19216811-login.info",21,"confirmed_threat","","login",9,0,"false","false","false",0,"inactive","","","","","false","SAFE",0,"false","true","false","false","false","true","2025-07-25T12:46:36.113Z"
"360squared.com","https://360squared.com",20.5,"confirmed_threat","square","",2,1,"false","false","false",0,"unknown","","","","","false","HIGH",5.128205128205128,"true","true","false","false","false","true","2025-07-25T13:33:21.617Z"
"11apple.com","https://11apple.com",19.3,"confirmed_threat","apple","",2,0,"false","false","false",0,"unknown","","","","","false","HIGH",2.564102564102564,"true","true","true","false","false","true","2025-07-25T12:29:17.777Z"
"1whatsapp.com","https://1whatsapp.com",19.3,"confirmed_threat","sap","",2,0,"false","false","false",0,"unknown","","","","","false","HIGH",2.564102564102564,"true","true","false","false","false","true","2025-07-25T12:53:52.815Z"
"1004apple.com","https://1004apple.com",18.5,"confirmed_threat","apple","",1,1,"false","false","false",0,"unknown","","","","","false","HIGH",5.128205128205128,"true","true","true","false","false","true","2025-07-25T12:23:38.765Z"
"0077betlogin.com","https://0077betlogin.com",18.3,"confirmed_threat","","login",2,1,"false","false","false",0,"unknown","","","","","false","HIGH",2.564102564102564,"true","true","true","false","false","true","2025-07-25T12:20:58.132Z"
"324applegatetrail.com","https://324applegatetrail.com",18.3,"confirmed_threat","apple","",1,1,"false","false","false",0,"unknown","","","","","false","HIGH",2.564102564102564,"true","true","false","false","false","true","2025-07-25T13:28:55.197Z"
"0088bet-login.com","https://0088bet-login.com",17.3,"confirmed_threat","","login",2,0,"false","false","false",0,"unknown","","","","","false","HIGH",2.564102564102564,"true","true","false","false","false","true","2025-07-25T12:21:29.591Z"
"10xgrowthaccount.com","https://10xgrowthaccount.com",17.3,"confirmed_threat","","account",2,0,"false","false","false",0,"unknown","","","","","false","HIGH",2.564102564102564,"true","true","true","false","false","true","2025-07-25T12:27:10.789Z"
"404box.net","https://404box.net",16.3,"confirmed_threat","box","",0,1,"false","false","false",0,"inactive","","","","","false","HIGH",2.564102564102564,"true","true","false","false","false","true","2025-07-25T13:45:10.853Z"
"365auto-boxora.store","https://365auto-boxora.store",15.3,"confirmed_threat","box","",0,0,"false","false","false",0,"inactive","","","","","false","HIGH",2.564102564102564,"true","false","false","false","false","true","2025-07-25T13:34:43.312Z"
"58heavymetalclothingcompany.online","https://58heavymetalclothingcompany.online",15.3,"confirmed_threat","meta","",0,0,"false","false","false",0,"inactive","","","","","false","HIGH",2.564102564102564,"true","true","false","false","false","true","2025-07-25T14:13:45.233Z"
"59590723mghisap517.top","https://59590723mghisap517.top",15.3,"confirmed_threat","sap","",0,0,"false","false","false",0,"inactive","","","","","false","HIGH",2.564102564102564,"true","true","false","false","false","true","2025-07-25T14:13:46.036Z"
"59visa.com","https://59visa.com",15.3,"confirmed_threat","visa","",0,0,"false","false","false",0,"unknown","","","","","false","HIGH",2.564102564102564,"true","true","false","false","false","true","2025-07-25T14:15:16.073Z"
"4-bitcoin.com","https://4-bitcoin.com",14.3,"confirmed_threat","","bitcoin",0,1,"false","false","false",0,"unknown","","","","","false","HIGH",2.564102564102564,"true","true","false","false","false","true","2025-07-25T13:45:10.033Z"
"1amazonas777.com","https://1amazonas777.com",14,"confirmed_threat","amazon","",3,3,"false","false","false",0,"unknown","","","","","false","SAFE",0,"false","true","false","false","false","true","2025-07-25T12:48:39.010Z"
"1awsfd65.top","https://1awsfd65.top",14,"confirmed_threat","aws","",3,3,"false","false","false",0,"inactive","","","","","false","SAFE",0,"false","true","false","false","false","true","2025-07-25T12:48:40.611Z"
"1azurewebsites.net","https://1azurewebsites.net",14,"confirmed_threat","azure","",3,3,"false","false","false",0,"inactive","","","","","false","SAFE",0,"false","true","false","false","false","true","2025-07-25T12:48:41.412Z"
"1010betloginapp.com","https://1010betloginapp.com",13.3,"confirmed_threat","","login",0,0,"false","false","false",0,"unknown","","","","","false","HIGH",2.564102564102564,"true","true","false","false","false","true","2025-07-25T12:24:43.108Z"
"166bet4login.com","https://166bet4login.com",13.3,"confirmed_threat","","login",0,0,"false","false","false",0,"unknown","","","","","false","HIGH",2.564102564102564,"true","false","false","false","false","true","2025-07-25T12:41:46.933Z"
"2bbilling.com","https://2bbilling.com",13.3,"confirmed_threat","","billing",0,0,"false","false","false",0,"unknown","","","","","false","HIGH",2.564102564102564,"true","true","false","false","false","true","2025-07-25T13:21:39.998Z"
"2loginarea.info","https://2loginarea.info",13.3,"confirmed_threat","","login",0,0,"false","false","false",0,"inactive","","","","","false","HIGH",2.564102564102564,"true","true","false","false","false","true","2025-07-25T13:24:22.267Z"
"336betlogin.com","https://336betlogin.com",13.3,"confirmed_threat","","login",0,0,"false","false","false",0,"unknown","","","","","false","HIGH",2.564102564102564,"true","true","false","false","false","true","2025-07-25T13:30:12.125Z"
"336betlogin.net","https://336betlogin.net",13.3,"confirmed_threat","","login",0,0,"false","false","false",0,"inactive","","","","","false","HIGH",2.564102564102564,"true","true","false","false","false","true","2025-07-25T13:30:12.943Z"
"36500authreport.com","https://36500authreport.com",13.3,"confirmed_threat","","auth",0,0,"false","false","false",0,"unknown","","","","","false","HIGH",2.564102564102564,"true","false","false","false","false","true","2025-07-25T13:34:19.866Z"
"3650authreport.com","https://3650authreport.com",13.3,"confirmed_threat","","auth",0,0,"false","false","false",0,"unknown","","","","","false","HIGH",2.564102564102564,"true","false","false","false","false","true","2025-07-25T13:34:42.503Z"
"40betlogin.com","https://40betlogin.com",13.3,"confirmed_threat","","login",0,0,"false","false","false",0,"unknown","","","","","false","HIGH",2.564102564102564,"true","true","false","false","false","true","2025-07-25T13:45:34.538Z"
"429805-crypto.com","https://429805-crypto.com",13.3,"confirmed_threat","","crypto",0,0,"false","false","false",0,"unknown","","","","","false","HIGH",2.564102564102564,"true","true","false","false","false","true","2025-07-25T13:49:23.852Z"
"4455betlogin.com","https://4455betlogin.com",13.3,"confirmed_threat","","login",0,0,"false","false","false",0,"unknown","","","","","false","HIGH",2.564102564102564,"true","true","false","false","false","true","2025-07-25T13:50:47.009Z"
"5566betloginapp.com","https://5566betloginapp.com",13.3,"confirmed_threat","","login",0,0,"false","false","false",0,"unknown","","","","","false","HIGH",2.564102564102564,"true","false","false","false","false","true","2025-07-25T14:07:30.597Z"
"5659betlogin.com","https://5659betlogin.com",13.3,"confirmed_threat","","login",0,0,"false","false","false",0,"unknown","","","","","false","HIGH",2.564102564102564,"true","true","false","false","false","true","2025-07-25T14:12:16.488Z"
"567betlogin.net","https://567betlogin.net",13.3,"confirmed_threat","","login",0,0,"false","false","false",0,"inactive","","","","","false","HIGH",2.564102564102564,"true","true","false","false","false","true","2025-07-25T14:12:17.348Z"
"5787betlogin.com","https://5787betlogin.com",13.3,"confirmed_threat","","login",0,0,"false","false","false",0,"unknown","","","","","false","HIGH",2.564102564102564,"true","true","false","false","false","true","2025-07-25T14:13:43.610Z"
"57betlogin.net","https://57betlogin.net",13.3,"confirmed_threat","","login",0,0,"false","false","false",0,"inactive","","","","","false","HIGH",2.564102564102564,"true","true","false","false","false","true","2025-07-25T14:13:44.424Z"
"1authentication-td.xyz","https://1authentication-td.xyz",12,"confirmed_threat","","auth",3,3,"false","false","false",0,"inactive","","","","","false","SAFE",0,"false","true","false","false","false","true","2025-07-25T12:48:39.816Z"
"1963betlogin.com","https://1963betlogin.com",9,"confirmed_threat","","login",2,2,"false","false","false",0,"unknown","","","","","false","SAFE",0,"false","true","false","false","false","true","2025-07-25T12:47:33.840Z"
"1993betlogin.com","https://1993betlogin.com",8,"confirmed_threat","","login",2,1,"false","false","false",0,"unknown","","","","","false","SAFE",0,"false","true","false","false","false","true","2025-07-25T12:47:51.087Z"
"1stcbank.com","https://1stcbank.com",7,"confirmed_threat","","bank",2,0,"false","false","false",0,"unknown","","","","","false","SAFE",0,"false","true","false","false","false","true","2025-07-25T12:52:15.314Z"
"1winbetlogin.com","https://1winbetlogin.com",7,"confirmed_threat","","login",2,0,"false","false","false",0,"unknown","","","","","false","SAFE",0,"false","true","false","false","false","true","2025-07-25T12:54:53.543Z"
"133betlogin.net","https://133betlogin.net",6,"confirmed_threat","","login",1,1,"false","false","false",0,"inactive","","","","","false","SAFE",0,"false","true","false","false","false","true","2025-07-25T12:35:01.361Z"
"167betlogin.com","https://167betlogin.com",6,"confirmed_threat","","login",1,1,"false","false","false",0,"unknown","","","","","false","SAFE",0,"false","true","false","false","false","true","2025-07-25T12:42:04.629Z"
"167betlogin.net","https://167betlogin.net",6,"confirmed_threat","","login",1,1,"false","false","false",0,"inactive","","","","","false","SAFE",0,"false","true","false","false","false","true","2025-07-25T12:42:05.445Z"
